node_id,node_name,node_type,line_num,rtl_name,op_type,core_name,bitwidth,opcode,m_delay,topo_index,oprand_edges
0_9,horizon,0,0,not_exist,not_exist,not_exist,64,alloca,0.00,1,['154']
0_10,starting_node_read,0,0,not_exist,not_exist,not_exist,64,read,0.00,2,"['156', '157']"
0_11,cnt_2_0_loc,0,0,not_exist,not_exist,not_exist,64,alloca,0.00,3,['159']
0_12,cnt_1_0_loc,0,0,not_exist,not_exist,not_exist,64,alloca,0.00,4,['160']
0_30,trunc_ln18,0,18,trunc_ln18_fu_294_p1,not_exist,not_exist,1,trunc,0.00,12,['161']
0_31,shl_ln,0,18,shl_ln_fu_297_p3,not_exist,not_exist,4,bitconcatenate,0.00,13,"['163', '164', '166']"
0_32,lshr_ln,0,18,lshr_ln_fu_274_p4,not_exist,not_exist,7,partselect,0.00,5,"['168', '169', '170', '172']"
0_33,zext_ln18,0,18,zext_ln18_fu_284_p1,not_exist,not_exist,64,zext,0.00,6,['173']
0_34,level_addr,0,18,not_exist,not_exist,not_exist,7,getelementptr,0.00,7,"['174', '176', '177']"
0_35,level_load,0,18,not_exist,ram,RAM,16,load,2.26,8,['178']
0_36,zext_ln18_1,0,18,zext_ln18_1_fu_305_p1,not_exist,not_exist,16,zext,0.00,14,['179']
0_37,shl_ln18,0,18,shl_ln18_fu_309_p2,shl,Shifter,16,shl,0.00,15,"['181', '182']"
0_38,xor_ln18,0,18,xor_ln18_fu_315_p2,xor,LogicGate,16,xor,0.00,16,"['183', '185']"
0_39,and_ln18,0,18,and_ln18_fu_321_p2,and,LogicGate,16,and,1.67,17,"['186', '187']"
0_40,level_addr_write_ln18,0,18,not_exist,ram,RAM,0,store,2.26,18,"['188', '189', '634']"
0_41,level_counts_0_addr,0,19,not_exist,not_exist,not_exist,2,getelementptr,0.00,9,"['190', '191', '192']"
0_42,level_counts_0_load,0,19,not_exist,ram,RAM,128,load,1.20,10,['193']
0_43,tmp_s,0,19,tmp_s_fu_328_p5,not_exist,not_exist,128,partset,0.00,19,"['195', '196', '197', '199', '201']"
0_44,level_counts_0_addr_write_ln19,0,19,not_exist,ram,RAM,0,store,1.20,20,"['202', '203', '633']"
0_45,horizon_write_ln21,0,21,not_exist,not_exist,not_exist,0,store,0.84,11,"['204', '205']"
0_46,br_ln21,0,21,not_exist,not_exist,not_exist,0,br,0.00,21,['206']
0_48,horizon_1,0,39,not_exist,not_exist,not_exist,64,load,0.00,22,"['207', '640']"
0_50,trunc_ln21,0,21,trunc_ln21_fu_344_p1,not_exist,not_exist,8,trunc,0.00,23,['208']
0_51,add_ln21,0,21,add_ln21_fu_348_p2,add,Adder,64,add,1.81,24,"['209', '210']"
0_52,empty,0,21,empty_fu_354_p2,add,Adder,8,add,1.35,25,"['211', '213']"
0_53,br_ln24,0,24,not_exist,not_exist,not_exist,0,br,0.84,26,['214']
0_55,cnt,0,0,not_exist,not_exist,not_exist,64,phi,0.00,27,"['215', '216', '217', '218']"
