edge_id,edge_type,source_obj,sink_obj,is_back_edge
0_125,1,0_124,0_8,0
0_128,1,0_4,0_9,0
0_130,1,0_129,0_10,0
0_131,1,0_9,0_26,0
0_134,1,0_26,0_27,0
0_136,1,0_135,0_27,0
0_139,1,0_9,0_28,0
0_140,1,0_124,0_28,0
0_142,1,0_141,0_28,0
0_143,1,0_28,0_29,0
0_144,1,0_5,0_30,0
0_146,1,0_145,0_30,0
0_147,1,0_29,0_30,0
0_148,1,0_30,0_31,0
0_149,1,0_27,0_32,0
0_151,1,0_150,0_33,0
0_152,1,0_32,0_33,0
0_153,1,0_33,0_34,0
0_155,1,0_154,0_34,0
0_156,1,0_31,0_35,0
0_157,1,0_34,0_35,0
0_158,1,0_35,0_36,0
0_159,1,0_30,0_36,0
0_160,1,0_6,0_37,0
0_161,1,0_145,0_37,0
0_162,1,0_145,0_37,0
0_163,1,0_129,0_38,0
0_164,1,0_37,0_38,0
0_165,1,0_145,0_39,0
0_166,1,0_8,0_39,0
0_167,2,0_50,0_40,0
0_168,1,0_8,0_42,0
0_169,1,0_42,0_44,0
0_170,1,0_42,0_45,0
0_171,1,0_42,0_46,0
0_172,1,0_129,0_46,0
0_173,1,0_45,0_47,0
0_175,1,0_174,0_47,0
0_176,1,0_44,0_48,0
0_178,1,0_177,0_48,0
0_179,2,0_57,0_49,0
0_180,1,0_145,0_51,0
0_181,2,0_50,0_51,0
0_182,1,0_98,0_51,1
0_183,2,0_100,0_51,1
0_185,1,0_184,0_52,0
0_186,2,0_50,0_52,0
0_187,1,0_55,0_52,1
0_188,2,0_100,0_52,1
0_189,1,0_52,0_53,0
0_191,1,0_190,0_53,0
0_192,1,0_52,0_55,0
0_194,1,0_193,0_55,0
0_195,1,0_53,0_56,0
0_196,2,0_73,0_56,0
0_197,2,0_105,0_56,0
0_198,1,0_52,0_58,0
0_200,1,0_58,0_60,0
0_201,1,0_135,0_60,0
0_204,1,0_52,0_61,0
0_205,1,0_124,0_61,0
0_206,1,0_141,0_61,0
0_209,1,0_52,0_62,0
0_210,1,0_124,0_62,0
0_212,1,0_211,0_62,0
0_213,1,0_61,0_63,0
0_214,1,0_5,0_64,0
0_215,1,0_145,0_64,0
0_216,1,0_63,0_64,0
0_217,1,0_64,0_65,0
0_218,1,0_60,0_66,0
0_219,1,0_65,0_67,0
0_220,1,0_66,0_67,0
0_221,1,0_67,0_68,0
0_222,1,0_68,0_69,0
0_223,1,0_69,0_70,0
0_224,1,0_70,0_71,0
0_225,1,0_42,0_71,0
0_226,1,0_71,0_72,0
0_227,2,0_100,0_72,0
0_228,2,0_93,0_72,0
0_231,1,0_52,0_74,0
0_232,1,0_141,0_74,0
0_235,1,0_74,0_75,0
0_237,1,0_236,0_75,0
0_238,1,0_62,0_76,0
0_239,1,0_1,0_77,0
0_240,1,0_145,0_77,0
0_241,1,0_76,0_77,0
0_242,1,0_77,0_78,0
0_243,1,0_75,0_79,0
0_244,1,0_78,0_80,0
0_245,1,0_79,0_80,0
0_246,1,0_80,0_81,0
0_247,1,0_2,0_82,0
0_248,1,0_145,0_82,0
0_249,1,0_76,0_82,0
0_250,1,0_82,0_83,0
0_251,1,0_75,0_84,0
0_252,1,0_83,0_85,0
0_253,1,0_84,0_85,0
0_254,1,0_85,0_86,0
0_257,1,0_81,0_87,0
0_258,1,0_86,0_87,0
0_259,1,0_58,0_87,0
0_262,1,0_80,0_88,0
0_264,1,0_263,0_88,0
0_266,1,0_265,0_88,0
0_268,1,0_85,0_89,0
0_269,1,0_263,0_89,0
0_270,1,0_265,0_89,0
0_272,1,0_88,0_90,0
0_273,1,0_89,0_90,0
0_274,1,0_58,0_90,0
0_275,1,0_87,0_91,0
0_276,1,0_90,0_91,0
0_277,1,0_91,0_92,0
0_278,2,0_100,0_92,0
0_279,2,0_97,0_92,0
0_281,1,0_280,0_94,0
0_282,1,0_51,0_94,0
0_283,1,0_87,0_94,0
0_284,1,0_90,0_94,0
0_285,1,0_3,0_94,0
0_286,1,0_5,0_94,0
0_287,1,0_48,0_94,0
0_288,1,0_10,0_94,0
0_289,1,0_10,0_95,0
0_290,2,0_100,0_96,0
0_291,1,0_95,0_98,0
0_292,2,0_97,0_98,0
0_293,1,0_51,0_98,0
0_294,2,0_73,0_98,0
0_295,1,0_51,0_98,0
0_296,2,0_93,0_98,0
0_297,2,0_57,0_99,0
0_298,1,0_42,0_101,0
0_301,1,0_47,0_102,0
0_302,1,0_124,0_102,0
