node_id,node_name,node_type,line_num,rtl_name,op_type,bitwidth,const_type,content
0_239,empty,2,0,not_exist,not_exist,32,0,1
0_241,empty,2,0,not_exist,not_exist,32,0,7
0_249,empty,2,0,not_exist,not_exist,64,0,0
0_252,empty,2,0,not_exist,not_exist,8,0,0
0_270,empty,2,0,not_exist,not_exist,64,0,1
0_272,empty,2,0,not_exist,not_exist,32,0,0
0_274,empty,2,0,not_exist,not_exist,32,0,63
0_286,empty,2,0,not_exist,not_exist,8,0,1
0_293,empty,2,0,not_exist,not_exist,9,0,0
0_302,empty,2,0,not_exist,not_exist,32,0,8
0_332,empty,2,0,not_exist,not_exist,32,0,64
0_334,empty,2,0,not_exist,not_exist,32,0,127
0_358,empty,2,0,not_exist,not_exist,32,0,11
0_369,empty,2,0,not_exist,not_exist,6,0,0
0_395,empty,2,0,not_exist,not_exist,8,0,127
0_439,empty,2,0,not_exist,not_exist,68,0,29514790517935282586
0_442,empty,2,0,not_exist,not_exist,64,0,5
0_447,empty,2,0,not_exist,not_exist,7,0,11
0_452,empty,2,0,not_exist,not_exist,32,0,5
0_458,empty,2,0,not_exist,not_exist,3,0,3
0_464,empty,2,0,not_exist,not_exist,32,0,67
0_474,empty,2,0,not_exist,not_exist,128,0,18446744073709551615
0_478,empty,2,0,not_exist,not_exist,128,0,340282366920938463463374607431768211455
0_512,empty,2,0,not_exist,not_exist,64,0,10
0_619,empty,2,0,not_exist,not_exist,9,0,2
