node_id,node_name,node_type,line_num,rtl_name,op_type,core_name,bitwidth,opcode,m_delay,topo_index,oprand_edges,latency,lut,ff,dsp,bram,uram
0_30,level_0_addr_write_ln18,0,18,not_exist,ram,RAM,0,store,2.26,7,"['164', '165']","['0', '0']",0,0,0,0,0
0_34,level_1_addr_write_ln18,0,18,not_exist,ram,RAM,0,store,2.26,10,"['170', '171']","['0', '0']",0,0,0,0,0
0_39,level_counts_addr_write_ln19,0,19,not_exist,ram,RAM,0,store,1.14,14,"['178', '179']","['0', '0']",0,0,0,0,0
0_40,horizon_write_ln21,0,21,not_exist,not_exist,not_exist,0,store,0.84,15,"['180', '181']","['0', '0']",0,0,0,0,0
0_43,horizon_1,0,21,not_exist,not_exist,not_exist,64,load,0.00,17,"['183', '577']","['1', '0']",0,0,0,0,0
0_46,add_ln21,0,21,add_ln21_fu_331_p2,add,Adder,64,add,1.81,19,"['185', '186']","['1', '0']",71,0,0,0,0
0_47,empty,0,21,empty_fu_337_p2,add,Adder,8,add,1.35,20,"['187', '189']","['1', '0']",15,0,0,0,0
0_56,n_1,0,24,n_1_fu_357_p2,add,Adder,9,add,1.35,27,"['205', '207']","['2', '0']",16,0,0,0,0
0_54,icmp_ln24,0,24,icmp_ln24_fu_351_p2,icmp,Cmp,1,icmp,0.90,26,"['202', '204']","['2', '0']",11,0,0,0,0
0_63,level_0_load,0,25,not_exist,ram,RAM,8,load,2.26,32,['220'],"['2', '1']",0,0,0,0,0
0_65,level_1_load,0,25,not_exist,ram,RAM,8,load,2.26,34,['224'],"['2', '1']",0,0,0,0,0
0_66,tmp,0,25,mux_21_8_1_1_U1,mux,Multiplexer,8,mux,0.84,42,"['226', '227', '228', '229']","['3', '0']",9,0,0,0,0
0_69,icmp_ln25,0,25,icmp_ln25_fu_406_p2,icmp,Cmp,1,icmp,1.40,45,"['232', '233']","['3', '0']",29,0,0,0,0
0_73,nodes_load,0,26,not_exist,ram,RAM,128,load,2.26,48,['240'],"['3', '1']",0,0,0,0,0
0_75,tmp_end,0,27,tmp_end_reg_630,not_exist,not_exist,64,partselect,0.00,50,"['243', '244', '246', '248']","['4', '0']",0,64,0,0,0
0_76,icmp_ln28,0,28,icmp_ln28_fu_425_p2,icmp,Cmp,1,icmp,1.40,51,"['249', '250']","['4', '0']",29,0,0,0,0
0_126,e_2,0,28,e_2_fu_553_p2,add,Adder,64,add,1.81,93,"['349', '350']","['8', '0']",71,0,0,0,0
0_83,icmp_ln28_1,0,28,icmp_ln28_1_fu_431_p2,icmp,Cmp,1,icmp,1.40,56,"['263', '264']","['5', '0']",29,0,0,0,0
0_93,edges_0_load,0,29,not_exist,ram,RAM,128,load,2.26,61,['291'],"['5', '1']",0,0,0,0,0
0_95,lshr_ln29,0,29,lshr_ln29_fu_478_p2,lshr,Shifter,128,lshr,2.37,69,"['293', '294']","['6', '0']",423,0,0,0,0
0_98,edges_1_load,0,29,not_exist,ram,RAM,128,load,2.26,63,['299'],"['5', '1']",0,0,0,0,0
0_100,lshr_ln29_1,0,29,lshr_ln29_1_fu_492_p2,lshr,Shifter,128,lshr,2.37,72,"['301', '302']","['6', '0']",423,0,0,0,0
0_102,tmp_dst,0,29,mux_253_64_1_1_U2,mux,Multiplexer,64,mux,0.84,74,"['305', '306', '307', '308']","['6', '0']",9,0,0,0,0
0_104,lshr_ln3,0,30,lshr_ln3_reg_656,not_exist,not_exist,7,partselect,0.00,76,"['310', '311', '312', '313']","['6', '0']",0,7,0,0,0
0_107,level_0_load_1,0,30,not_exist,ram,RAM,8,load,2.26,79,['318'],"['7', '1']",0,0,0,0,0
0_109,level_1_load_1,0,30,not_exist,ram,RAM,8,load,2.26,81,['322'],"['7', '1']",0,0,0,0,0
0_110,tmp_level,0,30,mux_21_8_1_1_U3,mux,Multiplexer,8,mux,0.84,82,"['323', '324', '325', '326']","['8', '0']",9,0,0,0,0
0_111,icmp_ln32,0,32,icmp_ln32_fu_540_p2,icmp,Cmp,1,icmp,0.86,83,"['327', '329']","['8', '0']",11,0,0,0,0
0_116,level_0_addr_2_write_ln33,0,33,not_exist,ram,RAM,0,store,2.26,86,"['336', '337', '576']","['8', '0']",0,0,0,0,0
0_119,level_1_addr_2_write_ln33,0,33,not_exist,ram,RAM,0,store,2.26,88,"['339', '340', '575']","['8', '0']",0,0,0,0,0
0_122,cnt_4,0,34,cnt_4_fu_546_p2,add,Adder,64,add,1.81,90,"['342', '343']","['8', '0']",71,0,0,0,0
0_135,level_counts_addr_1_write_ln39,0,39,not_exist,ram,RAM,0,store,1.14,36,"['363', '364']","['2', '0']",0,0,0,0,0
0_136,icmp_ln39,0,39,icmp_ln39_fu_379_p2,icmp,Cmp,1,icmp,1.40,37,"['365', '366']","['2', '0']",29,0,0,0,0
0_139,horizon_write_ln39,0,39,not_exist,not_exist,not_exist,0,store,0.84,39,"['370', '371', '578', '579']","['2', '0']",0,0,0,0,0
