rtl_name,lut,ff,dsp,bram,uram
mux_21_8_1_1_U1,9,0,0,0,0
mux_21_8_1_1_U3,9,0,0,0,0
mux_253_64_1_1_U2,9,0,0,0,0
add_ln21_fu_331_p2,71,0,0,0,0
cnt_4_fu_546_p2,71,0,0,0,0
e_2_fu_553_p2,71,0,0,0,0
empty_fu_337_p2,15,0,0,0,0
icmp_ln24_fu_351_p2,11,0,0,0,0
icmp_ln25_fu_406_p2,29,0,0,0,0
icmp_ln28_1_fu_431_p2,29,0,0,0,0
icmp_ln28_fu_425_p2,29,0,0,0,0
icmp_ln32_fu_540_p2,11,0,0,0,0
icmp_ln39_fu_379_p2,29,0,0,0,0
lshr_ln29_1_fu_492_p2,423,0,0,0,0
lshr_ln29_fu_478_p2,423,0,0,0,0
n_1_fu_357_p2,16,0,0,0,0
ap_NS_fsm_mux,45,0,0,0,0
ap_phi_mux_cnt_2_phi_fu_275_p4_mux,13,0,0,0,0
cnt_1_reg_250_mux,9,0,0,0,0
cnt_3_reg_283_mux,9,0,0,0,0
cnt_reg_226_mux,9,0,0,0,0
e_1_reg_261_mux,9,0,0,0,0
horizon_fu_94_mux,9,0,0,0,0
level_0_address0_mux,21,0,0,0,0
level_0_d0_mux,13,0,0,0,0
level_1_address0_mux,21,0,0,0,0
level_1_d0_mux,13,0,0,0,0
level_counts_address0_mux,13,0,0,0,0
level_counts_d0_mux,13,0,0,0,0
n_reg_239_mux,9,0,0,0,0
add_ln21_reg_574,0,64,0,0,0
ap_CS_fsm,0,10,0,0,0
cnt_1_reg_250,0,64,0,0,0
cnt_3_reg_283,0,64,0,0,0
cnt_reg_226,0,64,0,0,0
e_1_reg_261,0,64,0,0,0
empty_reg_580,0,8,0,0,0
horizon_1_reg_569,0,64,0,0,0
horizon_fu_94,0,64,0,0,0
level_0_addr_2_reg_661,0,7,0,0,0
level_1_addr_2_reg_666,0,7,0,0,0
lshr_ln3_reg_656,0,7,0,0,0
n_1_reg_599,0,9,0,0,0
n_reg_239,0,9,0,0,0
tmp_end_reg_630,0,64,0,0,0
trunc_ln24_reg_591,0,1,0,0,0
trunc_ln29_3_reg_651,0,1,0,0,0
zext_ln24_reg_586,0,9,0,0,0
