Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,runtime,BarrierTaskLaunch,446.78,36,12.411,7.792,18.271,7.01
0,runtime,CmoTaskLaunch,2623.534,151,17.374,6.542,51.23,36.822
0,runtime,ContextCreate,668.701,1,668.701,668.701,668.701,0.0
0,runtime,ContextGetCurrent,0.854,1,0.854,0.854,0.854,0.0
0,runtime,CtxGetOverflowAddr,0.958,1,0.958,0.958,0.958,0.0
0,runtime,DevBinaryRegister,1468.739,112,13.114,9.917,37.584,10.995
0,runtime,DevMalloc,14440.134,6,2406.689,7.438,13853.497,26212038.485
0,runtime,FunctionRegister,1412.363,157,8.996,4.667,29.042,9.741
0,runtime,GetFunctionByName,255.484,157,1.627,0.792,14.75,1.61
0,model,InputCopy,25.751,1,25.751,25.751,25.751,0.0
0,runtime,KernelLaunch,3347.299,157,21.32,11.667,633.367,2435.08
0,runtime,MemCopySync,2451.426,4,612.856,3.604,2038.459,703585.397
0,runtime,ModelBindStream,460.51,1,460.51,460.51,460.51,0.0
0,runtime,ModelCreate,296.173,1,296.173,296.173,296.173,0.0
0,model,ModelExecute,11586.616,1,11586.616,11586.616,11586.616,0.0
0,runtime,ModelExecute,11510.427,1,11510.427,11510.427,11510.427,0.0
0,model,ModelLoad,345958.242,1,345958.242,345958.242,345958.242,0.0
0,runtime,QueryFunctionRegistered,236.505,157,1.506,0.958,4.313,0.106
0,runtime,StreamCreate,415.342,2,207.671,27.771,387.571,32363.858
0,runtime,StreamSyncTaskFinish,0.0,3,0.0,0.0,0.0,0.0
0,runtime,StreamSynchronize,58.48,1,58.48,58.48,58.48,0.0
0,acl,aclCreateDataBuffer,3.021,2,1.51,0.229,2.792,1.642
0,acl,aclMallocMemInner,373.237,2,186.619,115.127,258.11,5110.973
0,acl,aclmdlExecute,11783.62,1,11783.62,11783.62,11783.62,0.0
0,acl,aclmdlGetDesc,439.447,1,439.447,439.447,439.447,0.0
0,acl,aclmdlLoadFromFile,530946.967,1,530946.967,530946.967,530946.967,0.0
0,acl,aclrtCreateContext,695.848,1,695.848,695.848,695.848,0.0
0,acl,aclrtMalloc,378.154,2,189.077,115.982,262.172,5342.918
0,acl,aclrtMemcpy,413.779,1,413.779,413.779,413.779,0.0
0,node,launch,5608.325,157,35.722,24.084,807.579,3860.635
0,node,step_info,56.939,2,28.47,11.292,45.647,295.064
