Device_id,Model Name,Model ID,Task ID,Stream ID,Infer ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),total_cycles,vec_exe_time(us),vec_exe_ratio,mac_exe_time(us),mac_exe_ratio,scalar_exe_time(us),scalar_exe_ratio,mte1_exe_time(us),mte1_exe_ratio,mte2_exe_time(us),mte2_exe_ratio,mte3_exe_time(us),mte3_exe_ratio,fixpipe_exe_time(us),fixpipe_exe_ratio,memory_bound
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,0,2,1,images_0_aipp/model.0/conv/Conv,Conv2D,static,AI_CORE,1784291371639115.926	,612.909,0,1,0,YES,"""1,640,640,3;9,1,16,16;16""",UINT8;FLOAT16;FLOAT16,NHWC;FRACTAL_Z;FORMAT_ND,"""1,1,320,320,16""",FLOAT16,NC1HWC0,N/A,249.66,305583,0.0,0.0,92.647,0.371,18.516,0.074,152.134,0.609,139.488,0.559,0.002,0.0,220.593,0.884,1.507
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,1,2,1,/model.0/act/Sigmoid/model.0/act/Mul,AutomaticBufferFusionOp,static,AI_VECTOR_CORE,1784291371639728.918	,479.135,0.083,1,0,NO,"""1,1,320,320,16;1,1,320,320,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,"""1,1,320,320,16""",FLOAT16,NC1HWC0,N/A,195.14,238854,125.101,0.641,0.0,0.0,3.676,0.019,0.0,0.0,186.563,0.956,130.611,0.669,0.0,0.0,1.491
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,2,2,1,/model.1/conv/Conv/model.1/act/Sigmoid/model.1/act/Mul,Conv2D,static,AI_CORE,1784291371640208.136	,469.197,0.083,1,0,YES,"""1,1,320,320,16;9,2,16,16;32""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,2,160,160,16""",FLOAT16,NC1HWC0,N/A,191.08,233877,60.867,0.319,46.169,0.242,16.238,0.085,55.98,0.293,164.934,0.863,83.633,0.438,27.104,0.142,2.705
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,4,2,1,/model.2/cv1/conv/Conv/model.2/cv1/act/Sigmoid/model.2/cv1/act/Mul,Conv2D,static,AI_CORE,1784291371640677.563	,288.527,0.229,1,0,YES,"""1,2,160,160,16;2,2,16,16;32""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,2,160,160,16""",FLOAT16,NC1HWC0,N/A,117.28,143549,60.417,0.515,108.446,0.925,1.559,0.013,3.523,0.03,58.401,0.498,54.413,0.464,12.758,0.109,0.538
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,7,2,1,PartitionedCall_/model.2/Split_SplitV_2,SplitVD,static,AI_VECTOR_CORE,1784291371640966.465	,167.087,0.375,1,0,NO,"""1,2,160,160,16""",FLOAT16,NC1HWC0,"""1,1,160,160,16;1,1,160,160,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,N/A,67.67,82833,0.0,0.0,0.0,0.0,0.3,0.004,0.0,0.0,28.502,0.421,38.54,0.57,0.0,0.0,0
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,8,2,1,/model.2/m.0/cv1/conv/Conv/model.2/m.0/cv1/act/Sigmoid/model.2/m.0/cv1/act/Mul,Conv2D,static,AI_CORE,1784291371641133.614	,122.023,0.063,1,0,YES,"""1,1,160,160,16;9,1,16,16;8""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,1,160,160,16""",FLOAT16,NC1HWC0,N/A,49.27,60306,30.433,0.618,26.227,0.532,2.511,0.051,15.847,0.322,9.485,0.193,17.833,0.362,7.524,0.153,0.312
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,11,2,1,/model.2/m.0/cv2/conv/Conv/model.2/m.0/cv2/act/Sigmoid/model.2/m.0/cv2/act/Mul,Conv2D,static,AI_CORE,1784291371641256.054	,117.482,0.417,1,0,YES,"""1,1,160,160,16;9,1,16,16;16""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,1,160,160,16""",FLOAT16,NC1HWC0,N/A,47.41,58030,30.433,0.642,26.227,0.553,2.364,0.05,15.846,0.334,7.163,0.151,21.945,0.463,7.524,0.159,0.235
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,14,2,1,/model.2/m.0/Add,Add,static,AI_VECTOR_CORE,1784291371641373.911	,95.856,0.375,1,0,NO,"""1,1,160,160,16;1,1,160,160,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,"""1,1,160,160,16""",FLOAT16,NC1HWC0,N/A,38.58,47217,4.097,0.106,0.0,0.0,0.638,0.017,0.0,0.0,36.546,0.947,28.807,0.747,0.0,0.0,8.934
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,16,2,1,/model.2/cv2/conv/Conv/model.2/cv2/act/Sigmoid/model.2/cv2/act/Mul,Conv2D,static,AI_CORE,1784291371641470.017	,451.739,0.25,1,0,YES,"""1,3,160,160,16;3,4,16,16;64""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,4,160,160,16""",FLOAT16,NC1HWC0,N/A,183.94,225148,126.574,0.688,102.332,0.556,7.352,0.04,4.087,0.022,84.5,0.459,97.007,0.527,82.161,0.447,0.667
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,17,2,1,/model.3/conv/Conv/model.3/act/Sigmoid/model.3/act/Mul,Conv2D,static,AI_CORE,1784291371641921.818	,442.363,0.063,1,0,YES,"""1,4,160,160,16;36,4,16,16;64""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,4,80,80,16""",FLOAT16,NC1HWC0,N/A,180.13,220476,33.317,0.185,63.534,0.353,14.744,0.082,34.847,0.193,158.284,0.879,42.896,0.238,17.038,0.095,2.49
