Device_id,Iteration ID,FP Start(us),BP End(us),Iteration End(us),Iteration Time(us),FP to BP Time(us),Iteration Refresh(us),Data Aug Bound(us),Model ID
0,1,N/A,N/A,1784291371650599.415	,11511.489582876944,N/A,N/A,N/A,1
0,2,N/A,N/A,1784291371665403.765	,11548.907028294194,N/A,N/A,N/A,1
0,3,N/A,N/A,1784291371702499.120	,33859.47553366788,N/A,N/A,N/A,1
0,4,N/A,N/A,1784291371717349.117	,11494.76006802725,N/A,N/A,N/A,1
0,5,N/A,N/A,1784291371731936.650	,11464.467770902149,N/A,N/A,N/A,1
0,6,N/A,N/A,1784291371746656.560	,11482.801485805923,N/A,N/A,N/A,1
0,7,N/A,N/A,1784291371761226.947	,11424.571107219503,N/A,N/A,N/A,1
0,8,N/A,N/A,1784291371776031.255	,11533.115032956623,N/A,N/A,N/A,1
0,9,N/A,N/A,1784291371790597.579	,11488.697441848843,N/A,N/A,N/A,1
0,10,N/A,N/A,1784291371805207.716	,11480.738942879248,N/A,N/A,N/A,1
0,11,N/A,N/A,1784291376679705.604	,11461.801048734327,N/A,N/A,N/A,1
0,12,N/A,N/A,1784291376691437.473	,11402.570649334973,N/A,N/A,N/A,1
0,13,N/A,N/A,1784291376703100.133	,11420.716860336322,N/A,N/A,N/A,1
0,14,N/A,N/A,1784291376714657.936	,11464.342768300532,N/A,N/A,N/A,1
0,15,N/A,N/A,1784291376726252.865	,11503.489416373479,N/A,N/A,N/A,1
0,16,N/A,N/A,1784291376737857.940	,11511.572917944688,N/A,N/A,N/A,1
0,17,N/A,N/A,1784291376749385.117	,11440.69644282805,N/A,N/A,N/A,1
0,18,N/A,N/A,1784291376760905.003	,11439.258912909458,N/A,N/A,N/A,1
0,19,N/A,N/A,1784291376772576.704	,11479.98892726955,N/A,N/A,N/A,1
0,20,N/A,N/A,1784291376784176.195	,11511.03124000435,N/A,N/A,N/A,1
0,21,N/A,N/A,1784291376795803.958	,11537.490124013206,N/A,N/A,N/A,1
0,22,N/A,N/A,1784291376807400.283	,11487.69742103591,N/A,N/A,N/A,1
0,23,N/A,N/A,1784291376818949.586	,11452.342518545334,N/A,N/A,N/A,1
0,24,N/A,N/A,1784291376830624.245	,11478.051386944491,N/A,N/A,N/A,1
0,25,N/A,N/A,1784291376842210.299	,11492.093345859428,N/A,N/A,N/A,1
0,26,N/A,N/A,1784291376853766.248	,11469.072033395028,N/A,N/A,N/A,1
0,27,N/A,N/A,1784291376865457.324	,11527.302411981449,N/A,N/A,N/A,1
0,28,N/A,N/A,1784291376877080.212	,11517.885549326329,N/A,N/A,N/A,1
0,29,N/A,N/A,1784291376888705.662	,11528.094095125021,N/A,N/A,N/A,1
0,30,N/A,N/A,1784291376900281.133	,11479.863924667932,N/A,N/A,N/A,1
0,31,N/A,N/A,1784291376911894.208	,11510.76040103418,N/A,N/A,N/A,1
0,32,N/A,N/A,1784291376923465.865	,11475.551334912157,N/A,N/A,N/A,1
0,33,N/A,N/A,1784291376935067.002	,11507.593668459891,N/A,N/A,N/A,1
0,34,N/A,N/A,1784291376946744.662	,11442.904822123277,N/A,N/A,N/A,1
0,35,N/A,N/A,1784291376958409.738	,11480.863945480865,N/A,N/A,N/A,1
0,36,N/A,N/A,1784291376970042.105	,11541.615209866555,N/A,N/A,N/A,1
0,37,N/A,N/A,1784291376981792.933	,11530.594147157355,N/A,N/A,N/A,1
0,38,N/A,N/A,1784291377002452.821	,20544.906757538556,N/A,N/A,N/A,1
0,39,N/A,N/A,1784291377014373.549	,11719.61891456866,N/A,N/A,N/A,1
0,40,N/A,N/A,1784291377026135.398	,11565.449039241463,N/A,N/A,N/A,1
0,41,N/A,N/A,1784291377037902.018	,11556.136345421022,N/A,N/A,N/A,1
0,42,N/A,N/A,1784291377049702.076	,11619.429329372917,N/A,N/A,N/A,1
0,43,N/A,N/A,1784291377061478.133	,11583.261909971834,N/A,N/A,N/A,1
0,44,N/A,N/A,1784291377073282.462	,11614.533394142933,N/A,N/A,N/A,1
0,45,N/A,N/A,1784291377085027.853	,11562.57397940428,N/A,N/A,N/A,1
0,46,N/A,N/A,1784291377096863.266	,11647.40907836811,N/A,N/A,N/A,1
0,47,N/A,N/A,1784291377108593.926	,11506.572813880022,N/A,N/A,N/A,1
0,48,N/A,N/A,1784291377120152.354	,11447.613253450838,N/A,N/A,N/A,1
0,49,N/A,N/A,1784291377131692.470	,11446.071554697566,N/A,N/A,N/A,1
0,50,N/A,N/A,1784291377143324.045	,11522.302307916783,N/A,N/A,N/A,1
0,51,N/A,N/A,1784291377155116.728	,11464.717776105383,N/A,N/A,N/A,1
0,52,N/A,N/A,1784291377166752.470	,11524.260682008779,N/A,N/A,N/A,1
0,53,N/A,N/A,1784291377178321.607	,11468.655358056307,N/A,N/A,N/A,1
0,54,N/A,N/A,1784291377189874.951	,11449.134118437174,N/A,N/A,N/A,1
0,55,N/A,N/A,1784291377201410.691	,11438.092221961037,N/A,N/A,N/A,1
0,56,N/A,N/A,1784291377213028.350	,11503.53108390735,N/A,N/A,N/A,1
0,57,N/A,N/A,1784291377224621.695	,11480.072262337293,N/A,N/A,N/A,1
0,58,N/A,N/A,1784291377236220.374	,11508.760359408314,N/A,N/A,N/A,1
0,59,N/A,N/A,1784291377247850.137	,11505.218619029176,N/A,N/A,N/A,1
0,60,N/A,N/A,1784291377259498.859	,11550.719566017635,N/A,N/A,N/A,1
0,61,N/A,N/A,1784291377271027.682	,11439.988094752222,N/A,N/A,N/A,1
0,62,N/A,N/A,1784291377282643.799	,11533.61504336309,N/A,N/A,N/A,1
0,63,N/A,N/A,1784291377294326.021	,11491.364164016664,N/A,N/A,N/A,1
0,64,N/A,N/A,1784291377306057.661	,11494.280891387718,N/A,N/A,N/A,1
0,65,N/A,N/A,1784291377317797.135	,11641.158948287279,N/A,N/A,N/A,1
0,66,N/A,N/A,1784291377329628.818	,11505.822798270323,N/A,N/A,N/A,1
0,67,N/A,N/A,1784291377341159.996	,11420.88353047181,N/A,N/A,N/A,1
0,68,N/A,N/A,1784291377352901.449	,11512.760442660046,N/A,N/A,N/A,1
0,69,N/A,N/A,1784291377364481.606	,11465.42612418121,N/A,N/A,N/A,1
0,70,N/A,N/A,1784291377376040.618	,11458.655149926975,N/A,N/A,N/A,1
0,71,N/A,N/A,1784291377387717.006	,11448.800778166196,N/A,N/A,N/A,1
0,72,N/A,N/A,1784291377399430.167	,11495.635086238566,N/A,N/A,N/A,1
0,73,N/A,N/A,1784291377411069.888	,11485.093200168894,N/A,N/A,N/A,1
0,74,N/A,N/A,1784291377422700.110	,11517.635544123095,N/A,N/A,N/A,1
0,75,N/A,N/A,1784291377434497.772	,11559.261410461439,N/A,N/A,N/A,1
0,76,N/A,N/A,1784291377446189.036	,11587.720336096161,N/A,N/A,N/A,1
0,77,N/A,N/A,1784291377457883.925	,11496.072595344223,N/A,N/A,N/A,1
0,78,N/A,N/A,1784291377469517.584	,11535.094240815553,N/A,N/A,N/A,1
0,79,N/A,N/A,1784291377481108.304	,11486.322392418126,N/A,N/A,N/A,1
0,80,N/A,N/A,1784291377498510.271	,17301.04757805272,N/A,N/A,N/A,1
0,81,N/A,N/A,1784291377510485.832	,11596.40801690852,N/A,N/A,N/A,1
0,82,N/A,N/A,1784291377522419.393	,11741.119362046722,N/A,N/A,N/A,1
0,83,N/A,N/A,1784291377534366.579	,11757.744708061737,N/A,N/A,N/A,1
0,84,N/A,N/A,1784291377546331.808	,11772.245009849268,N/A,N/A,N/A,1
0,85,N/A,N/A,1784291377558184.033	,11660.721855440283,N/A,N/A,N/A,1
0,86,N/A,N/A,1784291377570473.539	,11962.228130539634,N/A,N/A,N/A,1
0,87,N/A,N/A,1784291377582384.975	,11718.848065192024,N/A,N/A,N/A,1
0,88,N/A,N/A,1784291377594314.410	,11740.119341233789,N/A,N/A,N/A,1
0,89,N/A,N/A,1784291377606105.489	,11563.907340488191,N/A,N/A,N/A,1
0,90,N/A,N/A,1784291377617743.648	,11458.613482393102,N/A,N/A,N/A,1
0,91,N/A,N/A,1784291377629382.974	,11520.864777998193,N/A,N/A,N/A,1
0,92,N/A,N/A,1784291377641032.758	,11509.822881522055,N/A,N/A,N/A,1
0,93,N/A,N/A,1784291377652652.666	,11495.968426509544,N/A,N/A,N/A,1
0,94,N/A,N/A,1784291377664213.969	,11434.75881925126,N/A,N/A,N/A,1
0,95,N/A,N/A,1784291377675759.981	,11433.300455565732,N/A,N/A,N/A,1
0,96,N/A,N/A,1784291377687343.909	,11467.176160603842,N/A,N/A,N/A,1
0,97,N/A,N/A,1784291377699028.527	,11460.905196756074,N/A,N/A,N/A,1
0,98,N/A,N/A,1784291377710667.832	,11503.301912471054,N/A,N/A,N/A,1
0,99,N/A,N/A,1784291377722349.013	,11510.802068568051,N/A,N/A,N/A,1
0,100,N/A,N/A,1784291377734086.382	,11489.239119789181,N/A,N/A,N/A,1
0,101,N/A,N/A,1784291377745847.648	,11536.052594094615,N/A,N/A,N/A,1
0,102,N/A,N/A,1784291377757428.868	,11482.07230396316,N/A,N/A,N/A,1
0,103,N/A,N/A,1784291377769086.923	,11465.32195534653,N/A,N/A,N/A,1
0,104,N/A,N/A,1784291377780749.874	,11471.342913991064,N/A,N/A,N/A,1
0,105,N/A,N/A,1784291377792496.202	,11556.782192196042,N/A,N/A,N/A,1
0,106,N/A,N/A,1784291377804107.214	,11506.947821684873,N/A,N/A,N/A,1
0,107,N/A,N/A,1784291377815683.059	,11478.926405155808,N/A,N/A,N/A,1
0,108,N/A,N/A,1784291377827221.362	,11450.050804182361,N/A,N/A,N/A,1
0,109,N/A,N/A,1784291377838765.081	,11457.967635618083,N/A,N/A,N/A,1
0,110,N/A,N/A,1784291377850308.322	,11446.25905859999,N/A,N/A,N/A,1
