Device_id,Model Name,Model ID,Task ID,Stream ID,Infer ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),total_cycles,vec_exe_time(us),vec_exe_ratio,mac_exe_time(us),mac_exe_ratio,scalar_exe_time(us),scalar_exe_ratio,mte1_exe_time(us),mte1_exe_ratio,mte2_exe_time(us),mte2_exe_ratio,mte3_exe_time(us),mte3_exe_ratio,fixpipe_exe_time(us),fixpipe_exe_ratio,memory_bound
0,yolo11n_pose_640_aipp_pc_baseline,1,0,2,1,images_0_aipp/model.0/conv/Conv,Conv2D,static,AI_CORE,1784291623120383.951	,653.659,0,1,0,YES,"""1,640,640,3;9,1,16,16;16""",UINT8;FLOAT16;FLOAT16,NHWC;FRACTAL_Z;FORMAT_ND,"""1,1,320,320,16""",FLOAT16,NC1HWC0,N/A,266.3,325954,0.0,0.0,92.646,0.348,18.503,0.069,150.715,0.566,156.676,0.588,0.002,0.0,220.883,0.829,1.69
0,yolo11n_pose_640_aipp_pc_baseline,1,1,2,1,/model.0/act/Sigmoid/model.0/act/Mul,AutomaticBufferFusionOp,static,AI_VECTOR_CORE,1784291623121037.673	,475.218,0.063,1,0,NO,"""1,1,320,320,16;1,1,320,320,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,"""1,1,320,320,16""",FLOAT16,NC1HWC0,N/A,193.54,236889,125.031,0.646,0.0,0.0,3.928,0.02,0.0,0.0,184.138,0.951,132.49,0.685,0.0,0.0,1.472
0,yolo11n_pose_640_aipp_pc_baseline,1,2,2,1,/model.1/conv/Conv/model.1/act/Sigmoid/model.1/act/Mul,Conv2D,static,AI_CORE,1784291623121512.974	,480.739,0.083,1,0,YES,"""1,1,320,320,16;9,2,16,16;32""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,2,160,160,16""",FLOAT16,NC1HWC0,N/A,195.8,239657,60.867,0.311,46.147,0.236,16.062,0.082,56.059,0.286,169.991,0.868,85.755,0.438,27.075,0.138,2.791
0,yolo11n_pose_640_aipp_pc_baseline,1,4,2,1,/model.2/cv1/conv/Conv/model.2/cv1/act/Sigmoid/model.2/cv1/act/Mul,Conv2D,static,AI_CORE,1784291623121993.942	,285.464,0.229,1,0,YES,"""1,2,160,160,16;2,2,16,16;32""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,2,160,160,16""",FLOAT16,NC1HWC0,N/A,116.02,142005,60.417,0.521,107.181,0.924,1.567,0.014,3.528,0.03,54.672,0.471,52.995,0.457,13.015,0.112,0.51
0,yolo11n_pose_640_aipp_pc_baseline,1,7,2,1,PartitionedCall_/model.2/Split_SplitV_2,SplitVD,static,AI_VECTOR_CORE,1784291623122279.782	,164.753,0.375,1,0,NO,"""1,2,160,160,16""",FLOAT16,NC1HWC0,"""1,1,160,160,16;1,1,160,160,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,N/A,66.73,81676,0.0,0.0,0.0,0.0,0.292,0.004,0.0,0.0,26.861,0.403,39.284,0.589,0.0,0.0,0
0,yolo11n_pose_640_aipp_pc_baseline,1,8,2,1,/model.2/m.0/cv1/conv/Conv/model.2/m.0/cv1/act/Sigmoid/model.2/m.0/cv1/act/Mul,Conv2D,static,AI_CORE,1784291623122444.619	,122.378,0.083,1,0,YES,"""1,1,160,160,16;9,1,16,16;8""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,1,160,160,16""",FLOAT16,NC1HWC0,N/A,49.42,60484,30.436,0.616,26.23,0.531,2.449,0.05,15.848,0.321,9.746,0.197,18.031,0.365,7.524,0.152,0.32
0,yolo11n_pose_640_aipp_pc_baseline,1,11,2,1,/model.2/m.0/cv2/conv/Conv/model.2/m.0/cv2/act/Sigmoid/model.2/m.0/cv2/act/Mul,Conv2D,static,AI_CORE,1784291623122567.392	,118.336,0.396,1,0,YES,"""1,1,160,160,16;9,1,16,16;16""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,1,160,160,16""",FLOAT16,NC1HWC0,N/A,47.75,58451,30.43,0.637,26.225,0.549,2.269,0.048,15.845,0.332,7.257,0.152,23.552,0.493,7.523,0.158,0.239
0,yolo11n_pose_640_aipp_pc_baseline,1,14,2,1,/model.2/m.0/Add,Add,static,AI_VECTOR_CORE,1784291623122686.103	,94.502,0.375,1,0,NO,"""1,1,160,160,16;1,1,160,160,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,"""1,1,160,160,16""",FLOAT16,NC1HWC0,N/A,38.02,46539,4.096,0.108,0.0,0.0,1.005,0.026,0.0,0.0,35.309,0.929,29.025,0.763,0.0,0.0,8.602
0,yolo11n_pose_640_aipp_pc_baseline,1,16,2,1,/model.2/cv2/conv/Conv/model.2/cv2/act/Sigmoid/model.2/cv2/act/Mul,Conv2D,static,AI_CORE,1784291623122780.855	,457.614,0.25,1,0,YES,"""1,3,160,160,16;3,4,16,16;64""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,4,160,160,16""",FLOAT16,NC1HWC0,N/A,186.34,228084,126.562,0.679,101.85,0.547,7.243,0.039,4.087,0.022,87.491,0.47,97.279,0.522,84.657,0.454,0.692
0,yolo11n_pose_640_aipp_pc_baseline,1,17,2,1,/model.3/conv/Conv/model.3/act/Sigmoid/model.3/act/Mul,Conv2D,static,AI_CORE,1784291623123238.531	,424.967,0.063,1,0,YES,"""1,4,160,160,16;36,4,16,16;64""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,4,80,80,16""",FLOAT16,NC1HWC0,N/A,173.02,211772,33.318,0.193,62.9,0.364,14.874,0.086,34.847,0.201,150.799,0.872,43.169,0.25,16.751,0.097,2.396
0,yolo11n_pose_640_aipp_pc_baseline,1,19,2,1,/model.4/cv1/conv/Conv/model.4/cv1/act/Sigmoid/model.4/cv1/act/Mul,Conv2D,static,AI_CORE,1784291623123663.727	,88.002,0.229,1,0,YES,"""1,4,80,80,16;4,4,16,16;64""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,4,80,80,16""",FLOAT16,NC1HWC0,N/A,35.37,43296,31.713,0.897,6.036,0.171,2.204,0.062,2.193,0.062,17.367,0.491,23.449,0.663,6.737,0.19,0.547
0,yolo11n_pose_640_aipp_pc_baseline,1,21,2,1,PartitionedCall_/model.4/Split_SplitV_6,SplitVD,static,AI_VECTOR_CORE,1784291623123751.958	,58.23,0.229,1,0,NO,"""1,4,80,80,16""",FLOAT16,NC1HWC0,"""1,2,80,80,16;1,2,80,80,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,N/A,23.21,28408,0.0,0.0,0.0,0.0,0.138,0.006,0.0,0.0,8.406,0.362,14.191,0.611,0.0,0.0,0
0,yolo11n_pose_640_aipp_pc_baseline,1,22,2,1,/model.4/m.0/cv1/conv/Conv/model.4/m.0/cv1/act/Sigmoid/model.4/m.0/cv1/act/Mul,Conv2D,static,AI_CORE,1784291623123810.272	,57.168,0.083,1,0,YES,"""1,2,80,80,16;18,1,16,16;16""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,1,80,80,16""",FLOAT16,NC1HWC0,N/A,22.78,27887,7.658,0.336,12.539,0.55,1.711,0.075,8.183,0.359,3.675,0.161,3.385,0.149,8.145,0.358,0.293
0,yolo11n_pose_640_aipp_pc_baseline,1,24,2,1,/model.4/m.0/cv2/conv/Conv/model.4/m.0/cv2/act/Sigmoid/model.4/m.0/cv2/act/Mul,Conv2D,static,AI_CORE,1784291623123867.669	,64.626,0.229,1,0,YES,"""1,1,80,80,16;9,2,16,16;32""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,2,80,80,16""",FLOAT16,NC1HWC0,N/A,25.82,31605,15.318,0.593,16.962,0.657,2.112,0.082,8.184,0.317,10.272,0.398,7.474,0.289,3.502,0.136,0.606
