Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,runtime,BarrierTaskLaunch,446.509,35,12.757,7.5,23.521,11.619
0,runtime,CmoTaskLaunch,2662.41,151,17.632,6.521,58.439,50.922
0,runtime,ContextCreate,776.495,1,776.495,776.495,776.495,0.0
0,runtime,ContextGetCurrent,0.792,1,0.792,0.792,0.792,0.0
0,runtime,CtxGetOverflowAddr,1.021,1,1.021,1.021,1.021,0.0
0,runtime,DevBinaryRegister,1480.114,112,13.215,9.438,38.959,14.878
0,runtime,DevMalloc,15055.23,6,2509.205,7.417,14483.635,28682928.958
0,runtime,FunctionRegister,1433.259,157,9.129,4.688,29.063,8.831
0,runtime,GetFunctionByName,241.005,157,1.535,0.729,9.25,0.638
0,model,InputCopy,24.188,1,24.188,24.188,24.188,0.0
0,runtime,KernelLaunch,3415.779,157,21.757,11.604,656.076,2615.119
0,runtime,MemCopySync,2666.18,4,666.545,3.75,2259.922,871426.003
0,runtime,ModelBindStream,467.531,1,467.531,467.531,467.531,0.0
0,runtime,ModelCreate,315.965,1,315.965,315.965,315.965,0.0
0,model,ModelExecute,11270.026,1,11270.026,11270.026,11270.026,0.0
0,runtime,ModelExecute,11196.15,1,11196.15,11196.15,11196.15,0.0
0,model,ModelLoad,357122.724,1,357122.724,357122.724,357122.724,0.0
0,runtime,QueryFunctionRegistered,230.255,157,1.467,0.896,4.313,0.116
0,runtime,StreamCreate,411.738,2,205.869,28.501,383.237,31459.505
0,runtime,StreamSyncTaskFinish,0.0,3,0.0,0.0,0.0,0.0
0,runtime,StreamSynchronize,77.793,1,77.793,77.793,77.793,0.0
0,acl,aclCreateDataBuffer,0.625,2,0.312,0.208,0.417,0.011
0,acl,aclMallocMemInner,360.195,2,180.097,119.044,241.151,3727.512
0,acl,aclmdlExecute,11482.989,1,11482.989,11482.989,11482.989,0.0
0,acl,aclmdlGetDesc,443.009,1,443.009,443.009,443.009,0.0
0,acl,aclmdlLoadFromFile,548994.926,1,548994.926,548994.926,548994.926,0.0
0,acl,aclrtCreateContext,804.413,1,804.413,804.413,804.413,0.0
0,acl,aclrtMalloc,365.237,2,182.619,120.065,245.172,3912.926
0,acl,aclrtMemcpy,406.675,1,406.675,406.675,406.675,0.0
0,node,launch,5713.202,157,36.39,23.313,829.371,4084.164
0,node,step_info,55.209,2,27.605,10.604,44.605,289.012
