Device_id,Model Name,Model ID,Task ID,Stream ID,Infer ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),total_cycles,vec_exe_time(us),vec_exe_ratio,mac_exe_time(us),mac_exe_ratio,scalar_exe_time(us),scalar_exe_ratio,mte1_exe_time(us),mte1_exe_ratio,mte2_exe_time(us),mte2_exe_ratio,mte3_exe_time(us),mte3_exe_ratio,fixpipe_exe_time(us),fixpipe_exe_ratio,memory_bound
0,yolo11n_pose_640_aipp_dfl_small_channel_pc,1,0,2,1,images_0_aipp/model.0/conv/Conv,Conv2D,static,AI_CORE,1784293437164197.186	,306.069,0,1,0,YES,"""1,640,640,3;3,1,16,16;16""",UINT8;FLOAT16;FLOAT16,NHWC;FRACTAL_Z_C04;FORMAT_ND,"""1,1,320,320,16""",FLOAT16,NC1HWC0,N/A,124.32,152168,0.0,0.0,53.112,0.427,2.324,0.019,31.625,0.254,44.89,0.361,0.002,0.0,122.893,0.989,0.845
0,yolo11n_pose_640_aipp_dfl_small_channel_pc,1,1,2,1,/model.0/act/Sigmoid/model.0/act/Mul,AutomaticBufferFusionOp,static,AI_VECTOR_CORE,1784293437164503.339	,472.281,0.083,1,0,NO,"""1,1,320,320,16;1,1,320,320,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,"""1,1,320,320,16""",FLOAT16,NC1HWC0,N/A,192.33,235418,124.89,0.649,0.0,0.0,3.774,0.02,0.0,0.0,179.721,0.934,128.173,0.666,0.0,0.0,1.439
0,yolo11n_pose_640_aipp_dfl_small_channel_pc,1,2,2,1,/model.1/conv/Conv/model.1/act/Sigmoid/model.1/act/Mul,Conv2D,static,AI_CORE,1784293437164975.682	,455.572,0.063,1,0,YES,"""1,1,320,320,16;9,2,16,16;32""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,2,160,160,16""",FLOAT16,NC1HWC0,N/A,185.51,227060,60.867,0.328,46.419,0.25,16.299,0.088,56.053,0.302,159.012,0.857,82.028,0.442,27.142,0.146,2.613
0,yolo11n_pose_640_aipp_dfl_small_channel_pc,1,4,2,1,/model.2/cv1/conv/Conv/model.2/cv1/act/Sigmoid/model.2/cv1/act/Mul,Conv2D,static,AI_CORE,1784293437165431.483	,286.631,0.229,1,0,YES,"""1,2,160,160,16;2,2,16,16;32""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,2,160,160,16""",FLOAT16,NC1HWC0,N/A,116.5,142600,60.414,0.519,107.422,0.922,1.557,0.013,3.52,0.03,54.578,0.468,53.088,0.456,13.4,0.115,0.508
0,yolo11n_pose_640_aipp_dfl_small_channel_pc,1,7,2,1,PartitionedCall_/model.2/Split_SplitV_2,SplitVD,static,AI_VECTOR_CORE,1784293437165718.489	,165.399,0.375,1,0,NO,"""1,2,160,160,16""",FLOAT16,NC1HWC0,"""1,1,160,160,16;1,1,160,160,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,N/A,66.99,81991,0.0,0.0,0.0,0.0,0.3,0.004,0.0,0.0,26.707,0.399,39.609,0.591,0.0,0.0,0
0,yolo11n_pose_640_aipp_dfl_small_channel_pc,1,8,2,1,/model.2/m.0/cv1/conv/Conv/model.2/m.0/cv1/act/Sigmoid/model.2/m.0/cv1/act/Mul,Conv2D,static,AI_CORE,1784293437165883.951	,121.94,0.063,1,0,YES,"""1,1,160,160,16;9,1,16,16;8""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,1,160,160,16""",FLOAT16,NC1HWC0,N/A,49.23,60258,30.433,0.618,26.227,0.533,2.694,0.055,15.846,0.322,9.337,0.19,18.241,0.371,7.524,0.153,0.307
0,yolo11n_pose_640_aipp_dfl_small_channel_pc,1,11,2,1,/model.2/m.0/cv2/conv/Conv/model.2/m.0/cv2/act/Sigmoid/model.2/m.0/cv2/act/Mul,Conv2D,static,AI_CORE,1784293437166006.287	,117.836,0.396,1,0,YES,"""1,1,160,160,16;9,1,16,16;16""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,1,160,160,16""",FLOAT16,NC1HWC0,N/A,47.55,58203,30.432,0.64,26.226,0.552,2.472,0.052,15.846,0.333,7.252,0.153,23.239,0.489,7.523,0.158,0.239
0,yolo11n_pose_640_aipp_dfl_small_channel_pc,1,14,2,1,/model.2/m.0/Add,Add,static,AI_VECTOR_CORE,1784293437166124.518	,96.315,0.396,1,0,NO,"""1,1,160,160,16;1,1,160,160,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,"""1,1,160,160,16""",FLOAT16,NC1HWC0,N/A,38.77,47457,4.096,0.106,0.0,0.0,0.645,0.017,0.0,0.0,36.728,0.947,29.308,0.756,0.0,0.0,8.934
0,yolo11n_pose_640_aipp_dfl_small_channel_pc,1,16,2,1,/model.2/cv2/conv/Conv/model.2/cv2/act/Sigmoid/model.2/cv2/act/Mul,Conv2D,static,AI_CORE,1784293437166221.083	,449.822,0.25,1,0,YES,"""1,3,160,160,16;3,4,16,16;64""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,4,160,160,16""",FLOAT16,NC1HWC0,N/A,183.16,224190,126.58,0.691,103.07,0.563,7.3,0.04,4.087,0.022,82.799,0.452,96.131,0.525,81.266,0.444,0.654
0,yolo11n_pose_640_aipp_dfl_small_channel_pc,1,17,2,1,/model.3/conv/Conv/model.3/act/Sigmoid/model.3/act/Mul,Conv2D,static,AI_CORE,1784293437166670.988	,447.051,0.083,1,0,YES,"""1,4,160,160,16;36,4,16,16;64""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,4,80,80,16""",FLOAT16,NC1HWC0,N/A,182.04,222819,33.317,0.183,63.338,0.348,14.827,0.081,34.846,0.191,160.141,0.88,45.61,0.251,16.779,0.092,2.529
