Device_id,Model Name,Model ID,Task ID,Stream ID,Infer ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),total_cycles,vec_exe_time(us),vec_exe_ratio,mac_exe_time(us),mac_exe_ratio,scalar_exe_time(us),scalar_exe_ratio,mte1_exe_time(us),mte1_exe_ratio,mte2_exe_time(us),mte2_exe_ratio,mte3_exe_time(us),mte3_exe_ratio,fixpipe_exe_time(us),fixpipe_exe_ratio,memory_bound
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,0,2,1,images_0_aipp/model.0/conv/Conv,Conv2D,static,AI_CORE,1784293560916905.417	,561.033,0,1,0,YES,"""1,640,640,3;9,1,16,16;16""",UINT8;FLOAT16;FLOAT16,NHWC;FRACTAL_Z;FORMAT_ND,"""1,1,320,320,16""",FLOAT16,NC1HWC0,N/A,228.47,279642,0.0,0.0,92.649,0.406,18.54,0.081,162.765,0.712,83.322,0.365,0.002,0.0,225.856,0.989,0.899
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,1,2,1,/model.0/act/Sigmoid/model.0/act/Mul,AutomaticBufferFusionOp,static,AI_VECTOR_CORE,1784293560917466.512	,423.967,0.063,1,0,NO,"""1,1,320,320,16;1,1,320,320,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,"""1,1,320,320,16""",FLOAT16,NC1HWC0,N/A,172.59,211254,124.945,0.724,0.0,0.0,4.038,0.023,0.0,0.0,165.763,0.96,106.7,0.618,0.0,0.0,1.326
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,2,2,1,/model.1/conv/Conv/model.1/act/Sigmoid/model.1/act/Mul,Conv2D,static,AI_CORE,1784293560917890.542	,435.988,0.063,1,0,YES,"""1,1,320,320,16;9,2,16,16;32""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,2,160,160,16""",FLOAT16,NC1HWC0,N/A,177.51,217275,60.865,0.343,46.383,0.261,15.894,0.09,56.255,0.317,152.01,0.856,65.605,0.37,27.046,0.152,2.496
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,4,2,1,/model.2/cv1/conv/Conv/model.2/cv1/act/Sigmoid/model.2/cv1/act/Mul,Conv2D,static,AI_CORE,1784293560918326.759	,229.984,0.229,1,0,YES,"""1,2,160,160,16;2,2,16,16;32""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,2,160,160,16""",FLOAT16,NC1HWC0,N/A,93.36,114273,60.416,0.647,86.516,0.927,1.512,0.016,3.516,0.038,27.823,0.298,30.422,0.326,12.884,0.138,0.321
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,7,2,1,PartitionedCall_/model.2/Split_SplitV_2,SplitVD,static,AI_VECTOR_CORE,1784293560918557.118	,91.106,0.375,1,0,NO,"""1,2,160,160,16""",FLOAT16,NC1HWC0,"""1,1,160,160,16;1,1,160,160,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,N/A,36.64,44844,0.0,0.0,0.0,0.0,0.298,0.008,0.0,0.0,13.834,0.378,22.324,0.609,0.0,0.0,0
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,8,2,1,/model.2/m.0/cv1/conv/Conv/model.2/m.0/cv1/act/Sigmoid/model.2/m.0/cv1/act/Mul,Conv2D,static,AI_CORE,1784293560918648.286	,114.898,0.063,1,0,YES,"""1,1,160,160,16;9,1,16,16;8""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,1,160,160,16""",FLOAT16,NC1HWC0,N/A,46.36,56739,30.436,0.657,26.23,0.566,2.313,0.05,15.848,0.342,6.833,0.147,12.532,0.27,7.524,0.162,0.224
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,11,2,1,/model.2/m.0/cv2/conv/Conv/model.2/m.0/cv2/act/Sigmoid/model.2/m.0/cv2/act/Mul,Conv2D,static,AI_CORE,1784293560918763.581	,114.773,0.396,1,0,YES,"""1,1,160,160,16;9,1,16,16;16""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,1,160,160,16""",FLOAT16,NC1HWC0,N/A,46.3,56669,30.434,0.657,26.228,0.566,2.259,0.049,15.847,0.342,6.795,0.147,12.795,0.276,7.524,0.163,0.224
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,14,2,1,/model.2/m.0/Add,Add,static,AI_VECTOR_CORE,1784293560918878.729	,61.126,0.375,1,0,NO,"""1,1,160,160,16;1,1,160,160,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,"""1,1,160,160,16""",FLOAT16,NC1HWC0,N/A,24.4,29863,4.097,0.168,0.0,0.0,0.656,0.027,0.0,0.0,23.263,0.953,19.21,0.787,0.0,0.0,5.673
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,16,2,1,/model.2/cv2/conv/Conv/model.2/cv2/act/Sigmoid/model.2/cv2/act/Mul,Conv2D,static,AI_CORE,1784293560918940.105	,375.216,0.25,1,0,YES,"""1,3,160,160,16;3,4,16,16;64""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,4,160,160,16""",FLOAT16,NC1HWC0,N/A,152.68,186882,126.335,0.827,105.111,0.688,7.165,0.047,4.087,0.027,49.46,0.324,64.501,0.422,52.826,0.346,0.392
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,17,2,1,/model.3/conv/Conv/model.3/act/Sigmoid/model.3/act/Mul,Conv2D,static,AI_CORE,1784293560919315.384	,280.985,0.063,1,0,YES,"""1,4,160,160,16;36,4,16,16;64""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,4,80,80,16""",FLOAT16,NC1HWC0,N/A,114.2,139776,33.318,0.292,62.633,0.548,14.434,0.126,34.848,0.305,93.028,0.815,20.599,0.18,16.784,0.147,1.487
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,19,2,1,/model.4/cv1/conv/Conv/model.4/cv1/act/Sigmoid/model.4/cv1/act/Mul,Conv2D,static,AI_CORE,1784293560919596.577	,84.293,0.208,1,0,YES,"""1,4,80,80,16;4,4,16,16;64""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,4,80,80,16""",FLOAT16,NC1HWC0,N/A,33.85,41436,31.674,0.936,6.026,0.178,2.083,0.062,2.299,0.068,9.694,0.286,15.67,0.463,6.737,0.199,0.306
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,21,2,1,PartitionedCall_/model.4/Split_SplitV_6,SplitVD,static,AI_VECTOR_CORE,1784293560919681.100	,46.876,0.229,1,0,NO,"""1,4,80,80,16""",FLOAT16,NC1HWC0,"""1,2,80,80,16;1,2,80,80,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,N/A,18.57,22735,0.0,0.0,0.0,0.0,0.135,0.007,0.0,0.0,6.872,0.37,11.18,0.602,0.0,0.0,0
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,22,2,1,/model.4/m.0/cv1/conv/Conv/model.4/m.0/cv1/act/Sigmoid/model.4/m.0/cv1/act/Mul,Conv2D,static,AI_CORE,1784293560919728.059	,56.543,0.083,1,0,YES,"""1,2,80,80,16;18,1,16,16;16""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,1,80,80,16""",FLOAT16,NC1HWC0,N/A,22.53,27573,7.66,0.34,12.543,0.557,1.695,0.075,8.186,0.363,3.544,0.157,3.197,0.142,8.147,0.362,0.282
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,24,2,1,/model.4/m.0/cv2/conv/Conv/model.4/m.0/cv2/act/Sigmoid/model.4/m.0/cv2/act/Mul,Conv2D,static,AI_CORE,1784293560919784.831	,62.835,0.229,1,0,YES,"""1,1,80,80,16;9,2,16,16;32""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,2,80,80,16""",FLOAT16,NC1HWC0,N/A,25.09,30705,15.321,0.611,16.797,0.669,2.121,0.085,8.186,0.326,10.19,0.406,6.714,0.268,3.5,0.139,0.607
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,26,2,1,/model.4/m.0/Add,Add,static,AI_VECTOR_CORE,1784293560919847.874	,46.543,0.208,1,0,NO,"""1,2,80,80,16;1,2,80,80,16""",FLOAT16;FLOAT16,NC1HWC0;NC1HWC0,"""1,2,80,80,16""",FLOAT16,NC1HWC0,N/A,18.43,22555,2.848,0.155,0.0,0.0,0.324,0.018,0.0,0.0,16.133,0.875,13.915,0.755,0.0,0.0,5.645
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,28,2,1,/model.4/cv2/conv/Conv/model.4/cv2/act/Sigmoid/model.4/cv2/act/Mul,Conv2D,static,AI_CORE,1784293560919894.646	,275.068,0.229,1,0,YES,"""1,6,80,80,16;6,8,16,16;128""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,8,80,80,16""",FLOAT16,NC1HWC0,N/A,111.79,136831,71.078,0.636,105.313,0.942,4.742,0.042,4.352,0.039,18.639,0.167,35.94,0.321,18.478,0.165,0.177
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,29,2,1,/model.5/conv/Conv/model.5/act/Sigmoid/model.5/act/Mul,Conv2D,static,AI_CORE,1784293560920169.797	,191.275,0.083,1,0,YES,"""1,8,80,80,16;72,8,16,16;128""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;FORMAT_ND,"""1,8,40,40,16""",FLOAT16,NC1HWC0,N/A,77.55,94926,18.159,0.234,53.01,0.684,9.419,0.121,20.349,0.262,22.747,0.293,11.314,0.146,9.786,0.126,0.428
