node_id,node_name,node_type,line_num,rtl_name,op_type,bitwidth,direction,if_type,array_size
0_1,cnt_1,1,0,not_exist,not_exist,64,0,0,0
0_2,tmp_begin_1,1,0,not_exist,not_exist,64,0,0,0
0_3,tmp_end_1,1,0,not_exist,not_exist,64,0,0,0
0_4,edges,1,0,not_exist,not_exist,64,0,1,4096
0_5,level_0,1,0,not_exist,not_exist,16,2,1,64
0_6,level_1,1,0,not_exist,not_exist,16,2,1,64
0_7,zext_ln24_1,1,0,not_exist,not_exist,4,0,0,0
0_8,cnt_6_out,1,0,not_exist,not_exist,64,1,0,0
1_1,nodes,1,0,not_exist,not_exist,256,0,1,128
1_2,edges,1,0,not_exist,not_exist,64,0,1,4096
1_3,starting_node,1,0,not_exist,not_exist,64,0,0,0
1_4,level_0,1,0,not_exist,not_exist,16,2,1,64
1_5,level_1,1,0,not_exist,not_exist,16,2,1,64
1_6,level_counts,1,0,not_exist,not_exist,128,2,1,5
2_1,cnt,1,0,not_exist,not_exist,64,0,0,0
2_2,tmp_begin,1,0,not_exist,not_exist,64,0,0,0
2_3,tmp_end,1,0,not_exist,not_exist,64,0,0,0
2_4,edges,1,0,not_exist,not_exist,64,0,1,4096
2_5,level_0,1,0,not_exist,not_exist,16,2,1,64
2_6,level_1,1,0,not_exist,not_exist,16,2,1,64
2_7,zext_ln24,1,0,not_exist,not_exist,4,0,0,0
2_8,cnt_4_out,1,0,not_exist,not_exist,64,1,0,0
3_1,cnt_3,1,0,not_exist,not_exist,64,0,0,0
3_2,tmp_begin_2,1,0,not_exist,not_exist,64,0,0,0
3_3,tmp_end_2,1,0,not_exist,not_exist,64,0,0,0
3_4,edges,1,0,not_exist,not_exist,64,0,1,4096
3_5,level_0,1,0,not_exist,not_exist,16,2,1,64
3_6,level_1,1,0,not_exist,not_exist,16,2,1,64
3_7,zext_ln24,1,0,not_exist,not_exist,4,0,0,0
3_8,cnt_8_out,1,0,not_exist,not_exist,64,1,0,0
4_1,cnt_7,1,0,not_exist,not_exist,64,0,0,0
4_2,tmp_begin_3,1,0,not_exist,not_exist,64,0,0,0
4_3,tmp_end_3,1,0,not_exist,not_exist,64,0,0,0
4_4,edges,1,0,not_exist,not_exist,64,0,1,4096
4_5,level_0,1,0,not_exist,not_exist,16,2,1,64
4_6,level_1,1,0,not_exist,not_exist,16,2,1,64
4_7,zext_ln24_1,1,0,not_exist,not_exist,4,0,0,0
4_8,cnt_13_out,1,0,not_exist,not_exist,64,1,0,0
