node_id,node_name,node_type,line_num,rtl_name,op_type,core_name,bitwidth,opcode,m_delay,topo_index,oprand_edges,latency,lut,ff,dsp,bram,uram
0_30,level_0_addr_write_ln18,0,18,not_exist,ram,RAM,0,store,2.26,7,"['240', '241']","['0', '0']",0,0,0,0,0
0_34,level_1_addr_write_ln18,0,18,not_exist,ram,RAM,0,store,2.26,10,"['246', '247']","['0', '0']",0,0,0,0,0
0_39,level_counts_0_addr_write_ln19,0,19,not_exist,ram,RAM,0,store,1.14,14,"['255', '256']","['0', '0']",0,0,0,0,0
0_40,horizon_write_ln21,0,21,not_exist,not_exist,not_exist,0,store,0.84,15,"['257', '258']","['0', '0']",0,0,0,0,0
0_43,horizon_1,0,39,not_exist,not_exist,not_exist,64,load,0.00,17,"['260', '820']","['1', '0']",0,0,0,0,0
0_47,add_ln21,0,21,add_ln21_fu_452_p2,add,Adder,64,add,1.81,20,"['263', '264']","['1', '0']",71,0,0,0,0
0_48,add_ln21_cast,0,21,add_ln21_cast_fu_458_p2,add,Adder,4,add,1.01,21,"['265', '267']","['1', '0']",13,0,0,0,0
0_49,empty_17,0,21,empty_17_fu_464_p2,add,Adder,8,add,1.35,22,"['268', '270']","['1', '0']",15,0,0,0,0
0_196,n_1,0,24,n_1_fu_755_p2,add,Adder,9,add,1.35,132,"['588', '590']","['11', '0']",16,0,0,0,0
0_59,tmp_3,0,25,tmp_3_reg_904,not_exist,not_exist,1,bitselect,0.00,51,"['289', '290', '291']","['3', '0']",0,1,0,0,0
0_63,level_0_load,0,25,not_exist,ram,RAM,8,load,2.26,31,['297'],"['2', '1']",0,0,0,0,0
0_65,level_1_load,0,25,not_exist,ram,RAM,8,load,2.26,33,['301'],"['2', '1']",0,0,0,0,0
0_66,tmp,0,25,mux_21_8_1_1_U1,mux,Multiplexer,8,mux,0.84,52,"['303', '304', '305', '306']","['3', '0']",9,0,0,0,0
0_69,icmp_ln25,0,25,icmp_ln25_fu_544_p2,icmp,Cmp,1,icmp,1.40,55,"['309', '310']","['3', '0']",29,0,0,0,0
0_74,nodes_load,0,26,not_exist,ram,RAM,256,load,2.26,58,['322'],"['3', '1']",0,0,0,0,0
0_76,lshr_ln26,0,26,lshr_ln26_fu_560_p2,lshr,Shifter,256,lshr,2.38,61,"['324', '325']","['4', '0']",950,0,0,0,0
0_78,tmp_end,0,27,tmp_end_reg_925,not_exist,not_exist,64,partselect,0.00,63,"['328', '329', '331', '333']","['4', '0']",0,64,0,0,0
0_79,icmp_ln28,0,28,icmp_ln28_fu_580_p2,icmp,Cmp,1,icmp,1.40,64,"['334', '335']","['4', '0']",29,0,0,0,0
0_122,e_3,0,28,e_3_fu_685_p2,add,Adder,64,add,1.81,104,"['418', '419']","['7', '0']",71,0,0,0,0
0_86,icmp_ln28_1,0,28,icmp_ln28_1_fu_586_p2,icmp,Cmp,1,icmp,1.40,69,"['348', '349']","['5', '0']",29,0,0,0,0
0_94,edges_load,0,29,not_exist,ram,RAM,128,load,2.26,74,['362'],"['5', '1']",0,0,0,0,0
