node_id,node_name,node_type,line_num,rtl_name,op_type,bitwidth,const_type,content
0_119,empty,2,0,not_exist,not_exist,32,0,1
0_161,empty,2,0,not_exist,not_exist,64,0,2
0_172,empty,2,0,not_exist,not_exist,32,0,11
0_176,empty,2,0,not_exist,not_exist,64,0,0
0_193,empty,2,0,not_exist,not_exist,32,0,7
0_206,empty,2,0,not_exist,not_exist,3,0,0
0_213,empty,2,0,not_exist,not_exist,8,0,127
0_223,empty,2,0,not_exist,not_exist,64,0,1
0_226,empty,2,0,not_exist,not_exist,12,0,1
0_229,empty,2,0,not_exist,not_exist,1,0,1
0_284,empty,2,0,not_exist,not_exist,16,0,255
0_288,empty,2,0,not_exist,not_exist,16,0,65535
0_324,empty,2,0,not_exist,not_exist,1,0,0
1_219,empty,2,0,not_exist,not_exist,32,0,1
1_224,empty,2,0,not_exist,not_exist,64,0,1
1_237,empty,2,0,not_exist,not_exist,32,0,7
1_241,empty,2,0,not_exist,not_exist,64,0,0
1_248,empty,2,0,not_exist,not_exist,3,0,0
1_251,empty,2,0,not_exist,not_exist,16,0,255
1_255,empty,2,0,not_exist,not_exist,16,0,65535
1_269,empty,2,0,not_exist,not_exist,32,0,0
1_271,empty,2,0,not_exist,not_exist,32,0,63
1_275,empty,2,0,not_exist,not_exist,4,0,0
1_281,empty,2,0,not_exist,not_exist,4,0,10
1_288,empty,2,0,not_exist,not_exist,4,0,1
1_296,empty,2,0,not_exist,not_exist,9,0,0
1_304,empty,2,0,not_exist,not_exist,32,0,8
1_340,empty,2,0,not_exist,not_exist,32,0,64
1_342,empty,2,0,not_exist,not_exist,32,0,127
1_349,bfs_Pipeline_loop_neighbors,2,0,not_exist,not_exist,1,6,<constant bfs_Pipeline_loop_neighbors>
1_373,empty,2,0,not_exist,not_exist,8,0,1
1_377,empty,2,0,not_exist,not_exist,7,0,1
1_397,empty,2,0,not_exist,not_exist,32,0,3
1_418,empty,2,0,not_exist,not_exist,4,0,2
1_473,bfs_Pipeline_loop_neighbors2,2,0,not_exist,not_exist,1,6,<constant bfs_Pipeline_loop_neighbors2>
1_520,empty,2,0,not_exist,not_exist,7,0,16
1_525,empty,2,0,not_exist,not_exist,32,0,4
1_527,empty,2,0,not_exist,not_exist,32,0,6
1_563,bfs_Pipeline_loop_neighbors1,2,0,not_exist,not_exist,1,6,<constant bfs_Pipeline_loop_neighbors1>
1_587,empty,2,0,not_exist,not_exist,9,0,2
1_604,bfs_Pipeline_loop_neighbors3,2,0,not_exist,not_exist,1,6,<constant bfs_Pipeline_loop_neighbors3>
2_119,empty,2,0,not_exist,not_exist,32,0,1
2_161,empty,2,0,not_exist,not_exist,64,0,2
2_172,empty,2,0,not_exist,not_exist,32,0,11
2_176,empty,2,0,not_exist,not_exist,64,0,0
2_193,empty,2,0,not_exist,not_exist,32,0,7
2_206,empty,2,0,not_exist,not_exist,3,0,0
2_213,empty,2,0,not_exist,not_exist,8,0,127
2_223,empty,2,0,not_exist,not_exist,64,0,1
2_226,empty,2,0,not_exist,not_exist,12,0,1
2_229,empty,2,0,not_exist,not_exist,1,0,1
2_284,empty,2,0,not_exist,not_exist,16,0,255
2_288,empty,2,0,not_exist,not_exist,16,0,65535
2_324,empty,2,0,not_exist,not_exist,1,0,0
3_119,empty,2,0,not_exist,not_exist,32,0,1
3_161,empty,2,0,not_exist,not_exist,64,0,2
3_172,empty,2,0,not_exist,not_exist,32,0,11
3_176,empty,2,0,not_exist,not_exist,64,0,0
3_193,empty,2,0,not_exist,not_exist,32,0,7
3_206,empty,2,0,not_exist,not_exist,3,0,0
3_213,empty,2,0,not_exist,not_exist,8,0,127
3_223,empty,2,0,not_exist,not_exist,64,0,1
3_226,empty,2,0,not_exist,not_exist,12,0,1
3_229,empty,2,0,not_exist,not_exist,1,0,1
3_284,empty,2,0,not_exist,not_exist,16,0,255
3_288,empty,2,0,not_exist,not_exist,16,0,65535
3_324,empty,2,0,not_exist,not_exist,1,0,0
4_119,empty,2,0,not_exist,not_exist,32,0,1
4_161,empty,2,0,not_exist,not_exist,64,0,2
4_172,empty,2,0,not_exist,not_exist,32,0,11
4_176,empty,2,0,not_exist,not_exist,64,0,0
4_193,empty,2,0,not_exist,not_exist,32,0,7
4_206,empty,2,0,not_exist,not_exist,3,0,0
4_213,empty,2,0,not_exist,not_exist,8,0,127
4_223,empty,2,0,not_exist,not_exist,64,0,1
4_226,empty,2,0,not_exist,not_exist,12,0,1
4_229,empty,2,0,not_exist,not_exist,1,0,1
4_284,empty,2,0,not_exist,not_exist,16,0,255
4_288,empty,2,0,not_exist,not_exist,16,0,65535
4_324,empty,2,0,not_exist,not_exist,1,0,0
