node_id,node_name,node_type,line_num,rtl_name,op_type,core_name,bitwidth,opcode,m_delay,topo_index,oprand_edges
0_20,starting_node_read,0,10,not_exist,not_exist,not_exist,64,read,0.00,1,"['281', '282']"
0_21,lshr_ln,0,18,lshr_ln_fu_489_p4,not_exist,not_exist,7,partselect,0.00,2,"['284', '285', '287', '289']"
0_22,zext_ln18,0,18,zext_ln18_fu_499_p1,not_exist,not_exist,64,zext,0.00,3,['290']
0_23,trunc_ln18,0,18,trunc_ln18_fu_505_p1,not_exist,not_exist,1,trunc,0.00,4,['291']
0_24,br_ln18,0,18,not_exist,not_exist,not_exist,0,br,0.00,5,"['292', '293', '294']"
0_26,level_0_addr,0,18,not_exist,not_exist,not_exist,7,getelementptr,0.00,6,"['295', '297', '298']"
0_27,level_0_addr_write_ln18,0,18,not_exist,ram,RAM,0,store,2.26,7,"['300', '301']"
0_28,br_ln18,0,18,not_exist,not_exist,not_exist,0,br,0.00,8,['302']
0_30,level_1_addr,0,18,not_exist,not_exist,not_exist,7,getelementptr,0.00,9,"['303', '304', '305']"
0_31,level_1_addr_write_ln18,0,18,not_exist,ram,RAM,0,store,2.26,10,"['306', '307']"
0_32,br_ln18,0,18,not_exist,not_exist,not_exist,0,br,0.00,11,['308']
0_34,horizon,0,0,not_exist,not_exist,not_exist,64,alloca,0.00,12,['309']
0_35,level_counts_addr,0,19,not_exist,not_exist,not_exist,3,getelementptr,0.00,13,"['310', '311', '312']"
0_36,level_counts_load,0,19,not_exist,ram,RAM,128,load,1.20,14,['313']
0_37,tmp9,0,19,tmp9_fu_514_p5,not_exist,not_exist,128,partset,0.00,16,"['315', '316', '318', '320', '322']"
0_38,level_counts_addr_write_ln19,0,19,not_exist,ram,RAM,0,store,1.20,17,"['323', '324', '982']"
0_39,horizon_write_ln21,0,21,not_exist,not_exist,not_exist,0,store,0.84,15,"['325', '326']"
0_40,br_ln21,0,21,not_exist,not_exist,not_exist,0,br,0.00,18,['327']
0_42,horizon_1,0,21,not_exist,not_exist,not_exist,64,load,0.00,19,"['328', '1005']"
0_44,trunc_ln21,0,21,trunc_ln21_fu_530_p1,not_exist,not_exist,8,trunc,0.00,20,['329']
0_45,add_ln21,0,21,add_ln21_fu_534_p2,add,Adder,64,add,1.81,21,"['330', '331']"
0_46,empty,0,21,empty_fu_540_p2,add,Adder,8,add,1.35,22,"['332', '334']"
0_47,br_ln24,0,24,not_exist,not_exist,not_exist,0,br,0.84,23,['335']
0_49,cnt,0,0,not_exist,not_exist,not_exist,64,phi,0.00,24,"['336', '337', '338', '339']"
0_50,n,0,0,not_exist,not_exist,not_exist,9,phi,0.00,25,"['341', '342', '343', '344']"
0_51,zext_ln24,0,24,zext_ln24_fu_546_p1,not_exist,not_exist,64,zext,0.00,26,['345']
0_52,tmp,0,24,tmp_fu_550_p3,not_exist,not_exist,1,bitselect,0.00,27,"['347', '348', '350']"
0_54,br_ln24,0,24,not_exist,not_exist,not_exist,0,br,0.00,28,"['351', '352', '353']"
0_57,lshr_ln1,0,25,lshr_ln1_fu_558_p4,not_exist,not_exist,7,partselect,0.00,29,"['355', '356', '357', '358']"
0_58,zext_ln25,0,25,zext_ln25_fu_568_p1,not_exist,not_exist,64,zext,0.00,30,['359']
0_59,level_0_addr_1,0,25,not_exist,not_exist,not_exist,7,getelementptr,0.00,31,"['360', '361', '362']"
0_60,level_0_load,0,25,not_exist,ram,RAM,8,load,2.26,32,['363']
0_61,sext_ln25,0,25,sext_ln25_fu_579_p1,not_exist,not_exist,32,sext,0.00,34,['364']
0_62,zext_ln25_1,0,25,zext_ln25_1_fu_583_p1,not_exist,not_exist,64,zext,0.00,35,['365']
0_63,icmp_ln25,0,25,icmp_ln25_fu_587_p2,icmp,Cmp,1,icmp,1.40,36,"['366', '367']"
0_64,br_ln25,0,25,not_exist,not_exist,not_exist,0,br,0.84,37,"['368', '369', '370']"
0_66,nodes_addr,0,26,not_exist,not_exist,not_exist,8,getelementptr,0.00,38,"['371', '372', '373']"
0_67,nodes_load,0,26,not_exist,ram,RAM,128,load,2.26,39,['374']
0_68,tmp_begin,0,26,tmp_begin_fu_592_p1,not_exist,not_exist,64,trunc,0.00,40,['375']
0_69,tmp_end,0,27,reg_485,not_exist,not_exist,64,partselect,0.00,41,"['377', '378', '380', '382']"
0_70,icmp_ln28,0,28,icmp_ln28_fu_596_p2,icmp,Cmp,1,icmp,1.40,42,"['383', '384']"
0_71,br_ln28,0,28,not_exist,not_exist,not_exist,0,br,0.84,43,"['385', '386', '387']"
0_73,br_ln28,0,28,not_exist,not_exist,not_exist,0,br,0.84,44,['388']
0_75,cnt_1_0,0,0,not_exist,not_exist,not_exist,64,phi,0.00,45,"['389', '390', '391', '392']"
0_76,e_1_0,0,0,not_exist,not_exist,not_exist,64,phi,0.00,46,"['393', '394', '395', '396']"
0_77,icmp_ln28_1,0,28,icmp_ln28_1_fu_602_p2,icmp,Cmp,1,icmp,1.40,47,"['397', '398']"
0_78,br_ln28,0,28,not_exist,not_exist,not_exist,0,br,0.84,48,"['399', '400', '401']"
0_81,tmp_3,0,29,tmp_3_fu_617_p3,not_exist,not_exist,1,bitselect,0.00,53,"['417', '418', '420']"
0_82,trunc_ln28,0,28,trunc_ln28_fu_608_p1,not_exist,not_exist,11,trunc,0.00,49,['421']
0_83,zext_ln29,0,29,zext_ln29_fu_612_p1,not_exist,not_exist,64,zext,0.00,50,['422']
0_84,edges_addr,0,29,not_exist,not_exist,not_exist,11,getelementptr,0.00,51,"['423', '424', '425']"
0_85,edges_load,0,29,not_exist,ram,RAM,128,load,2.26,52,['426']
0_86,tmp_4,0,29,tmp_4_fu_625_p3,not_exist,not_exist,7,bitconcatenate,0.00,54,"['428', '429', '431']"
0_87,zext_ln29_1,0,29,zext_ln29_1_fu_633_p1,not_exist,not_exist,128,zext,0.00,55,['432']
0_88,lshr_ln29,0,29,lshr_ln29_fu_637_p2,lshr,Shifter,128,lshr,2.37,56,"['433', '434']"
0_89,trunc_ln30,0,30,trunc_ln30_fu_643_p1,not_exist,not_exist,1,trunc,0.00,57,['435']
0_90,lshr_ln2,0,30,lshr_ln2_fu_647_p4,not_exist,not_exist,7,partselect,0.00,58,"['437', '438', '439', '440']"
0_91,zext_ln30,0,30,zext_ln30_fu_657_p1,not_exist,not_exist,64,zext,0.00,59,['441']
0_92,level_0_addr_2,0,30,not_exist,not_exist,not_exist,7,getelementptr,0.00,60,"['442', '443', '444']"
0_93,level_0_load_1,0,30,not_exist,ram,RAM,8,load,2.26,61,['445']
0_94,level_1_addr_1,0,30,not_exist,not_exist,not_exist,7,getelementptr,0.00,62,"['446', '447', '448']"
0_95,level_1_load,0,30,not_exist,ram,RAM,8,load,2.26,63,['449']
0_96,tmp_level,0,30,mux_21_8_1_1_U2,mux,Multiplexer,8,mux,0.84,64,"['451', '452', '453', '454']"
0_97,icmp_ln32,0,32,icmp_ln32_fu_672_p2,icmp,Cmp,1,icmp,0.86,65,"['455', '457']"
0_98,br_ln32,0,32,not_exist,not_exist,not_exist,0,br,0.84,66,"['458', '459', '460']"
0_100,br_ln33,0,33,not_exist,not_exist,not_exist,0,br,0.00,67,"['467', '468', '469']"
0_102,level_0_addr_2_write_ln33,0,33,not_exist,ram,RAM,0,store,2.26,68,"['464', '465', '985']"
0_103,br_ln33,0,33,not_exist,not_exist,not_exist,0,br,0.00,69,['466']
0_105,level_1_addr_1_write_ln33,0,33,not_exist,ram,RAM,0,store,2.26,70,"['470', '471', '984']"
0_106,br_ln33,0,33,not_exist,not_exist,not_exist,0,br,0.00,71,['472']
0_108,add_ln34,0,34,add_ln34_fu_678_p2,add,Adder,64,add,1.81,72,"['461', '462']"
0_109,br_ln35,0,35,not_exist,not_exist,not_exist,0,br,0.84,73,['463']
0_111,cnt_2_0,0,34,not_exist,not_exist,not_exist,64,phi,0.00,74,"['402', '403', '404', '405']"
0_112,add_ln28,0,28,add_ln28_fu_684_p2,add,Adder,64,add,1.81,75,"['406', '407']"
0_113,add_ln28_4,0,28,add_ln28_4_fu_690_p2,add,Adder,11,add,1.33,76,"['408', '410']"
0_114,icmp_ln28_3,0,28,icmp_ln28_3_fu_695_p2,icmp,Cmp,1,icmp,1.40,77,"['411', '412']"
0_115,br_ln28,0,28,not_exist,not_exist,not_exist,0,br,0.84,78,"['413', '414', '415']"
0_117,tmp_5,0,29,tmp_5_reg_1189,not_exist,not_exist,1,bitselect,0.00,79,"['481', '482', '483']"
0_118,zext_ln29_2,0,29,zext_ln29_2_fu_709_p1,not_exist,not_exist,64,zext,0.00,80,['484']
0_119,edges_addr_1,0,29,not_exist,not_exist,not_exist,11,getelementptr,0.00,81,"['485', '486', '487']"
0_120,edges_load_1,0,29,not_exist,ram,RAM,128,load,2.26,82,['488']
0_121,tmp_6,0,29,tmp_6_fu_714_p3,not_exist,not_exist,7,bitconcatenate,0.00,83,"['489', '490', '491']"
0_122,zext_ln29_3,0,29,zext_ln29_3_fu_721_p1,not_exist,not_exist,128,zext,0.00,84,['492']
0_123,lshr_ln29_1,0,29,lshr_ln29_1_fu_725_p2,lshr,Shifter,128,lshr,2.37,85,"['493', '494']"
0_124,trunc_ln30_1,0,30,trunc_ln30_1_fu_731_p1,not_exist,not_exist,1,trunc,0.00,86,['495']
0_125,lshr_ln30_1,0,30,lshr_ln30_1_fu_735_p4,not_exist,not_exist,7,partselect,0.00,87,"['496', '497', '498', '499']"
0_126,zext_ln30_1,0,30,zext_ln30_1_fu_745_p1,not_exist,not_exist,64,zext,0.00,88,['500']
0_127,level_0_addr_3,0,30,not_exist,not_exist,not_exist,7,getelementptr,0.00,89,"['501', '502', '503']"
0_128,level_0_load_2,0,30,not_exist,ram,RAM,8,load,2.26,90,"['504', '988']"
0_129,level_1_addr_3,0,30,not_exist,not_exist,not_exist,7,getelementptr,0.00,91,"['505', '506', '507']"
0_130,level_1_load_2,0,30,not_exist,ram,RAM,8,load,2.26,92,"['508', '990']"
0_131,tmp_level_s,0,30,mux_21_8_1_1_U3,mux,Multiplexer,8,mux,0.84,93,"['509', '510', '511', '512']"
0_132,icmp_ln32_1,0,32,icmp_ln32_1_fu_760_p2,icmp,Cmp,1,icmp,0.86,94,"['513', '514']"
0_133,br_ln32,0,32,not_exist,not_exist,not_exist,0,br,0.84,95,"['515', '516', '517']"
0_135,br_ln33,0,33,not_exist,not_exist,not_exist,0,br,0.00,96,"['524', '525', '526']"
0_137,level_0_addr_3_write_ln33,0,33,not_exist,ram,RAM,0,store,2.26,97,"['521', '522', '987', '989', '994']"
0_138,br_ln33,0,33,not_exist,not_exist,not_exist,0,br,0.00,98,['523']
0_140,level_1_addr_3_write_ln33,0,33,not_exist,ram,RAM,0,store,2.26,99,"['527', '528', '986', '992', '993']"
0_141,br_ln33,0,33,not_exist,not_exist,not_exist,0,br,0.00,100,['529']
0_143,add_ln34_1,0,34,add_ln34_1_fu_766_p2,add,Adder,64,add,1.81,101,"['518', '519']"
0_144,br_ln35,0,35,not_exist,not_exist,not_exist,0,br,0.84,102,['520']
0_146,cnt_2_1,0,34,not_exist,not_exist,not_exist,64,phi,0.00,104,"['473', '474', '475', '476']"
0_147,add_ln28_1,0,28,add_ln28_1_fu_772_p2,add,Adder,64,add,1.81,103,"['477', '479']"
0_148,br_ln28,0,28,not_exist,not_exist,not_exist,0,br,0.00,105,['480']
0_150,cnt_1_ph,0,34,not_exist,not_exist,not_exist,64,phi,0.00,106,"['530', '531', '532', '533']"
0_151,br_ln0,0,0,not_exist,not_exist,not_exist,0,br,0.84,107,['534']
0_153,cnt_1,0,0,not_exist,not_exist,not_exist,64,phi,0.00,108,"['535', '536', '537', '538', '539', '540']"
0_154,level_1_addr_2,0,25,not_exist,not_exist,not_exist,7,getelementptr,0.00,109,"['541', '542', '543']"
0_155,level_1_load_1,0,25,not_exist,ram,RAM,8,load,2.26,110,"['544', '991']"
0_156,sext_ln25_1,0,25,sext_ln25_1_fu_778_p1,not_exist,not_exist,32,sext,0.00,111,['545']
0_157,zext_ln25_2,0,25,zext_ln25_2_fu_782_p1,not_exist,not_exist,64,zext,0.00,112,['546']
0_158,icmp_ln25_1,0,25,icmp_ln25_1_fu_786_p2,icmp,Cmp,1,icmp,1.40,113,"['547', '548']"
0_159,br_ln25,0,25,not_exist,not_exist,not_exist,0,br,0.84,114,"['549', '550', '551']"
0_161,trunc_ln24,0,24,trunc_ln24_fu_791_p1,not_exist,not_exist,8,trunc,0.00,115,['600']
0_162,or_ln26,0,26,or_ln26_fu_795_p2,not_exist,not_exist,8,or,0.00,116,"['601', '602']"
0_163,zext_ln26,0,26,zext_ln26_fu_801_p1,not_exist,not_exist,64,zext,0.00,117,['603']
0_164,nodes_addr_1,0,26,not_exist,not_exist,not_exist,8,getelementptr,0.00,118,"['604', '605', '606']"
0_165,nodes_load_1,0,26,not_exist,ram,RAM,128,load,2.26,119,['607']
0_166,tmp_begin_1,0,26,tmp_begin_1_fu_806_p1,not_exist,not_exist,64,trunc,0.00,120,['608']
0_167,tmp_end_1,0,27,reg_485,not_exist,not_exist,64,partselect,0.00,121,"['609', '610', '611', '612']"
