node_id,node_name,node_type,line_num,rtl_name,op_type,core_name,bitwidth,opcode,m_delay,topo_index,oprand_edges,latency,lut,ff,dsp,bram,uram
0_8,horizon,0,0,not_exist,not_exist,not_exist,4,alloca,0.00,1,['219'],"['0', '0']",0,0,0,0,0
0_9,starting_node_read,0,0,not_exist,not_exist,not_exist,64,read,0.00,2,"['221', '222']","['0', '0']",0,0,0,0,0
0_10,cnt_9_0_loc,0,0,not_exist,not_exist,not_exist,64,alloca,0.00,3,['224'],"['0', '0']",0,0,0,0,0
0_11,cnt_6_0_loc,0,0,not_exist,not_exist,not_exist,64,alloca,0.00,4,['225'],"['0', '0']",0,0,0,0,0
0_12,cnt_2_0_loc,0,0,not_exist,not_exist,not_exist,64,alloca,0.00,5,['226'],"['0', '0']",0,0,0,0,0
0_13,cnt_1_0_loc,0,0,not_exist,not_exist,not_exist,64,alloca,0.00,6,['227'],"['0', '0']",0,0,0,0,0
0_14,empty,0,0,empty_fu_369_p1,not_exist,not_exist,7,trunc,0.00,7,['228'],"['0', '0']",0,0,0,0,0
0_30,tmp,0,18,tmp_fu_383_p3,not_exist,not_exist,1,bitselect,0.00,14,"['230', '231', '233']","['1', '0']",0,0,0,0,0
0_31,zext_ln18,0,18,zext_ln18_fu_373_p1,not_exist,not_exist,64,zext,0.00,8,['234'],"['0', '0']",0,0,0,0,0
0_32,level_addr,0,18,not_exist,not_exist,not_exist,7,getelementptr,0.00,9,"['235', '237', '238']","['0', '0']",0,0,0,0,0
0_33,level_load,0,18,not_exist,ram,RAM,16,load,2.26,10,['239'],"['0', '1']",0,0,0,0,0
0_34,tmp_15,0,18,tmp_15_fu_390_p3,not_exist,not_exist,4,bitconcatenate,0.00,15,"['241', '242', '244']","['1', '0']",0,0,0,0,0
0_35,zext_ln18_1,0,18,zext_ln18_1_fu_398_p1,not_exist,not_exist,16,zext,0.00,16,['245'],"['1', '0']",0,0,0,0,0
0_36,shl_ln18,0,18,shl_ln18_fu_402_p2,shl,Shifter,16,shl,0.00,17,"['247', '248']","['1', '0']",35,0,0,0,0
0_37,xor_ln18,0,18,xor_ln18_fu_408_p2,xor,LogicGate,16,xor,0.00,18,"['249', '251']","['1', '0']",16,0,0,0,0
0_38,and_ln18,0,18,and_ln18_fu_414_p2,and,LogicGate,16,and,1.67,19,"['252', '253']","['1', '0']",16,0,0,0,0
0_39,level_addr_write_ln18,0,18,not_exist,ram,RAM,0,store,2.26,20,"['254', '255', '806']","['1', '0']",0,0,0,0,0
0_40,level_counts_0_addr,0,19,not_exist,not_exist,not_exist,2,getelementptr,0.00,11,"['256', '257', '258']","['0', '0']",0,0,0,0,0
0_41,level_counts_0_load,0,19,not_exist,ram,RAM,128,load,1.20,12,['259'],"['0', '1']",0,0,0,0,0
