rtl_name,lut,ff,dsp,bram,uram
grp_bfs_Pipeline_loop_neighbors1_fu_294,408,206,0,0,0
grp_bfs_Pipeline_loop_neighbors_fu_280,408,206,0,0,0
mul_4ns_6ns_9_1_1_U16,26,0,0,0,0
mul_4ns_6ns_9_1_1_U18,26,0,0,0,0
urem_4ns_4ns_4_8_seq_1_U15,23,58,0,0,0
urem_4ns_4ns_4_8_seq_1_U17,23,58,0,0,0
add_ln21_fu_568_p2,13,0,0,0,0
and_ln18_fu_371_p2,16,0,0,0,0
and_ln39_1_fu_699_p2,128,0,0,0,0
and_ln39_fu_539_p2,128,0,0,0,0
conv20_fu_404_p2,4,0,0,0,0
icmp_ln21_fu_394_p2,9,0,0,0,0
icmp_ln24_1_fu_573_p2,11,0,0,0,0
icmp_ln24_fu_414_p2,11,0,0,0,0
icmp_ln25_1_fu_634_p2,11,0,0,0,0
icmp_ln25_fu_475_p2,11,0,0,0,0
icmp_ln28_1_fu_644_p2,29,0,0,0,0
icmp_ln28_fu_485_p2,29,0,0,0,0
icmp_ln39_1_fu_722_p2,29,0,0,0,0
icmp_ln39_fu_562_p2,29,0,0,0,0
lshr_ln25_1_fu_624_p2,35,0,0,0,0
lshr_ln25_fu_465_p2,35,0,0,0,0
n_2_fu_420_p2,16,0,0,0,0
n_3_fu_579_p2,16,0,0,0,0
or_ln39_1_fu_715_p2,128,0,0,0,0
or_ln39_fu_555_p2,128,0,0,0,0
shl_ln18_fu_359_p2,35,0,0,0,0
shl_ln39_1_fu_549_p2,423,0,0,0,0
shl_ln39_2_fu_687_p2,423,0,0,0,0
shl_ln39_3_fu_709_p2,423,0,0,0,0
shl_ln39_fu_527_p2,423,0,0,0,0
xor_ln18_fu_365_p2,16,0,0,0,0
xor_ln39_1_fu_693_p2,128,0,0,0,0
xor_ln39_fu_533_p2,128,0,0,0,0
ap_NS_fsm_mux,153,0,0,0,0
cnt_1_reg_241_mux,9,0,0,0,0
cnt_3_reg_226_mux,9,0,0,0,0
cnt_5_reg_265_mux,9,0,0,0,0
cnt_reg_202_mux,9,0,0,0,0
edges_address0_mux,13,0,0,0,0
edges_ce0_mux,13,0,0,0,0
horizon_fu_104_mux,9,0,0,0,0
level_address0_mux,29,0,0,0,0
level_ce0_mux,17,0,0,0,0
level_counts_address0_mux,29,0,0,0,0
level_counts_d0_mux,17,0,0,0,0
level_d0_mux,17,0,0,0,0
level_we0_mux,17,0,0,0,0
n_1_reg_253_mux,9,0,0,0,0
n_reg_214_mux,9,0,0,0,0
nodes_address0_mux,13,0,0,0,0
add_ln21_reg_836,0,4,0,0,0
ap_CS_fsm,0,31,0,0,0
cnt_1_reg_241,0,64,0,0,0
cnt_3_reg_226,0,64,0,0,0
cnt_5_reg_265,0,64,0,0,0
cnt_reg_202,0,64,0,0,0
conv20_reg_778,0,3,0,0,0
grp_bfs_Pipeline_loop_neighbors1_fu_294_ap_start_reg,0,1,0,0,0
grp_bfs_Pipeline_loop_neighbors_fu_280_ap_start_reg,0,1,0,0,0
horizon_fu_104,0,4,0,0,0
icmp_ln21_reg_769,0,1,0,0,0
icmp_ln39_reg_832,0,1,0,0,0
level_addr_reg_756,0,7,0,0,0
level_counts_addr_1_reg_827,0,3,0,0,0
level_counts_addr_2_reg_876,0,3,0,0,0
n_1_reg_253,0,9,0,0,0
n_2_reg_793,0,9,0,0,0
n_3_reg_847,0,9,0,0,0
n_reg_214,0,9,0,0,0
reg_320,0,64,0,0,0
tmp_8_reg_822,0,1,0,0,0
tmp_begin_1_reg_865,0,64,0,0,0
tmp_begin_reg_811,0,64,0,0,0
zext_ln21_reg_773,0,4,0,0,0
zext_ln24_reg_785,0,3,0,0,0
flow_control_loop_pipe_sequential_init_U,0,0,0,0,0
and_ln33_fu_237_p2,16,0,0,0,0
ap_enable_pp0,2,0,0,0,0
cnt_4_fu_259_p2,71,0,0,0,0
e_3_fu_148_p2,71,0,0,0,0
icmp_ln28_fu_134_p2,29,0,0,0,0
icmp_ln32_fu_205_p2,11,0,0,0,0
level_d0,16,0,0,0,0
lshr_ln30_fu_195_p2,35,0,0,0,0
shl_ln33_2_fu_246_p2,35,0,0,0,0
shl_ln33_fu_225_p2,35,0,0,0,0
xor_ln33_fu_231_p2,16,0,0,0,0
ap_done_int_mux,9,0,0,0,0
ap_enable_reg_pp0_iter0_mux,9,0,0,0,0
ap_enable_reg_pp0_iter1_mux,9,0,0,0,0
cnt_3_fu_60_mux,9,0,0,0,0
e_1_fu_56_mux,9,0,0,0,0
ap_done_reg,0,1,0,0,0
ap_enable_reg_pp0_iter0_reg,0,1,0,0,0
ap_enable_reg_pp0_iter1,0,1,0,0,0
cnt_3_fu_60,0,64,0,0,0
e_1_fu_56,0,64,0,0,0
icmp_ln28_reg_299,0,1,0,0,0
level_addr_reg_318,0,7,0,0,0
tmp_4_reg_313,0,1,0,0,0
tmp_dst_reg_308,0,64,0,0,0
cnt_2_fu_259_p2,71,0,0,0,0
e_2_fu_148_p2,71,0,0,0,0
shl_ln33_1_fu_246_p2,35,0,0,0,0
cnt_fu_60_mux,9,0,0,0,0
e_fu_56_mux,9,0,0,0,0
cnt_fu_60,0,64,0,0,0
e_fu_56,0,64,0,0,0
tmp_1_reg_313,0,1,0,0,0
