edge_id,edge_type,source_obj,sink_obj,is_back_edge
0_214,1,0_5,0_10,0
0_216,1,0_215,0_11,0
0_217,1,0_215,0_12,0
0_218,1,0_10,0_32,0
0_221,1,0_32,0_33,0
0_223,1,0_222,0_33,0
0_226,1,0_10,0_34,0
0_228,1,0_227,0_34,0
0_231,1,0_10,0_35,0
0_233,1,0_232,0_35,0
0_235,1,0_234,0_35,0
0_236,1,0_35,0_36,0
0_237,1,0_34,0_37,0
0_238,2,0_47,0_37,0
0_239,2,0_56,0_37,0
0_240,1,0_6,0_39,0
0_242,1,0_241,0_39,0
0_243,1,0_36,0_39,0
0_244,1,0_39,0_40,0
0_245,1,0_33,0_41,0
0_247,1,0_246,0_42,0
0_248,1,0_41,0_42,0
0_249,1,0_42,0_43,0
0_251,1,0_250,0_43,0
0_252,1,0_40,0_44,0
0_253,1,0_43,0_44,0
0_254,1,0_44,0_45,0
0_255,1,0_39,0_45,0
0_256,2,0_62,0_46,0
0_257,1,0_7,0_48,0
0_258,1,0_241,0_48,0
0_259,1,0_36,0_48,0
0_260,1,0_48,0_49,0
0_261,1,0_33,0_50,0
0_262,1,0_246,0_51,0
0_263,1,0_50,0_51,0
0_264,1,0_51,0_52,0
0_265,1,0_250,0_52,0
0_266,1,0_49,0_53,0
0_267,1,0_52,0_53,0
0_268,1,0_53,0_54,0
0_269,1,0_48,0_54,0
0_270,2,0_62,0_55,0
0_271,1,0_232,0_57,0
0_272,1,0_8,0_58,0
0_273,1,0_241,0_58,0
0_274,1,0_241,0_58,0
0_275,1,0_215,0_59,0
0_276,1,0_58,0_59,0
0_278,1,0_277,0_60,0
0_279,1,0_57,0_60,0
0_280,2,0_67,0_61,0
0_281,1,0_57,0_63,0
0_282,1,0_63,0_64,0
0_284,1,0_283,0_64,0
0_285,1,0_64,0_66,0
0_286,2,0_209,0_66,0
0_287,2,0_73,0_66,0
0_288,1,0_63,0_68,0
0_289,1,0_63,0_70,0
0_291,1,0_290,0_70,0
0_292,1,0_70,0_71,0
0_293,2,0_80,0_72,0
0_294,1,0_241,0_74,0
0_295,2,0_73,0_74,0
0_296,1,0_126,0_74,1
0_297,2,0_128,0_74,1
0_299,1,0_298,0_75,0
0_300,2,0_73,0_75,0
0_301,1,0_78,0_75,1
0_302,2,0_128,0_75,1
0_303,1,0_75,0_76,0
0_305,1,0_304,0_76,0
0_306,1,0_75,0_78,0
0_308,1,0_307,0_78,0
0_309,1,0_76,0_79,0
0_310,2,0_101,0_79,0
0_311,2,0_135,0_79,0
0_312,1,0_75,0_81,0
0_315,1,0_75,0_83,0
0_316,1,0_227,0_83,0
